Volatility of Returns Statistic,"(Session:US Mid 10-15 ET, Interval:15m, Symbol:ZN)"
count,102.0
mean,4.053961061963846
std,2.609616557648923
min,0.5
10%,1.5
25%,2.25
50%,3.5
75%,5.0
95%,9.987499999999997
99%,11.987499999999994
max,12.0
skewness,1.3298360664463316
kurtosis,1.3239912136095433
