Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,0.9374992000000475,-0.2549781510614169,-0.2549781510614169
2024-10-15,0.6875007999999525,-0.47714369989814776,-0.47714369989814776
2024-10-16,1.0,-0.1994356974508381,-0.1994356974508381
2024-10-17,0.375,-0.7548531242139855,-0.7548531242139855
2024-10-18,0.6874992000000475,-0.4771451217666759,-0.4771451217666759
2024-10-21,1.5625007999999525,0.3004406975702586,0.3004406975702586
2024-10-22,0.6874992000000475,-0.4771451217666759,-0.4771451217666759
2024-10-23,0.625,-0.5326861535087266,-0.5326861535087266
2024-10-24,0.875,-0.31051918280346763,-0.31051918280346763
2024-10-25,0.5624992000000475,-0.5882286071193054,-0.5882286071193054
2024-10-28,1.1874992000000475,-0.03281118035615795,-0.03281118035615795
2024-10-29,1.0625007999999525,-0.14389324384025934,-0.14389324384025934
2024-11-04,0.875,-0.31051918280346763,-0.31051918280346763
2024-11-05,0.8124992000000475,-0.3660616364140464,-0.3660616364140464
2024-11-06,2.0,0.6892321853701977,0.6892321853701977
2024-11-07,1.25,0.02273127325442084,0.02273127325442084
2024-11-08,1.125,-0.08835221209820864,-0.08835221209820864
2024-11-11,0.75,-0.4216026681560971,-0.4216026681560971
2024-11-12,1.375,0.13381475860705033,0.13381475860705033
2024-11-15,1.375,0.13381475860705033,0.13381475860705033
2024-11-18,0.875,-0.31051918280346763,-0.31051918280346763
2024-11-19,2.125,0.8003156707228272,0.8003156707228272
2024-11-20,0.8124992000000475,-0.3660616364140464,-0.3660616364140464
2024-11-21,1.0625007999999525,-0.14389324384025934,-0.14389324384025934
2024-11-22,1.0,-0.1994356974508381,-0.1994356974508381
2024-11-25,0.875,-0.31051918280346763,-0.31051918280346763
2024-11-26,0.75,-0.4216026681560971,-0.4216026681560971
2024-11-28,0.3124992000000475,-0.8103955778245643,-0.8103955778245643
2024-11-29,0.5,-0.6437696388613561,-0.6437696388613561
2024-12-02,3.75,2.2444009803070104,2.2444009803070104
2024-12-03,0.625,-0.5326861535087266,-0.5326861535087266
2024-12-04,0.8125,-0.36606092547978236,-0.36606092547978236
2024-12-05,2.9375,1.522358325514919,1.522358325514919
2024-12-09,0.5625,-0.5882278961850413,-0.5882278961850413
2024-12-10,1.0,-0.1994356974508381,-0.1994356974508381
2024-12-13,0.875,-0.31051918280346763,-0.31051918280346763
2024-12-16,0.875,-0.31051918280346763,-0.31051918280346763
2024-12-17,1.9375,0.633690442693883,0.633690442693883
2024-12-18,0.75,-0.4216026681560971,-0.4216026681560971
2024-12-23,0.4375,-0.6993113815376708,-0.6993113815376708
2024-12-26,0.4375,-0.6993113815376708,-0.6993113815376708
2024-12-27,0.5625,-0.5882278961850413,-0.5882278961850413
2024-12-30,0.75,-0.4216026681560971,-0.4216026681560971
2024-12-31,0.5,-0.6437696388613561,-0.6437696388613561
2025-01-02,1.5,0.2448982439596798,0.2448982439596798
2025-01-03,0.625,-0.5326861535087266,-0.5326861535087266
2025-01-06,1.375,0.13381475860705033,0.13381475860705033
2025-01-07,0.68896484375,-0.4758426512384357,-0.4758426512384357
2025-01-08,1.125,-0.08835221209820864,-0.08835221209820864
2025-01-09,0.875,-0.31051918280346763,-0.31051918280346763
2025-01-13,0.75,-0.4216026681560971,-0.4216026681560971
2025-01-16,0.75,-0.4216026681560971,-0.4216026681560971
2025-01-17,0.6875,-0.4771444108324118,-0.4771444108324118
2025-01-20,0.625,-0.5326861535087266,-0.5326861535087266
2025-01-21,1.4375,0.18935650128336506,0.18935650128336506
2025-01-22,0.625,-0.5326861535087266,-0.5326861535087266
2025-01-23,0.5625,-0.5882278961850413,-0.5882278961850413
2025-01-24,0.75,-0.4216026681560971,-0.4216026681560971
2025-01-27,2.625,1.2446496121333452,1.2446496121333452
2025-01-28,0.5625,-0.5882278961850413,-0.5882278961850413
2025-01-29,0.4375,-0.6993113815376708,-0.6993113815376708
2025-02-03,1.375,0.13381475860705033,0.13381475860705033
2025-02-04,0.9375,-0.25497744012715284,-0.25497744012715284
2025-02-05,0.9375,-0.25497744012715284,-0.25497744012715284
2025-02-06,0.6875,-0.4771444108324118,-0.4771444108324118
2025-02-10,0.5,-0.6437696388613561,-0.6437696388613561
2025-02-11,0.375,-0.7548531242139855,-0.7548531242139855
2025-02-14,0.6875,-0.4771444108324118,-0.4771444108324118
2025-02-17,0.625,-0.5326861535087266,-0.5326861535087266
2025-02-18,0.3125,-0.8103948668903003,-0.8103948668903003
2025-02-19,0.3125,-0.8103948668903003,-0.8103948668903003
2025-02-20,0.3125,-0.8103948668903003,-0.8103948668903003
2025-02-21,0.5625,-0.5882278961850413,-0.5882278961850413
2025-02-24,0.4375,-0.6993113815376708,-0.6993113815376708
2025-02-25,1.1875,-0.032810469421893904,-0.032810469421893904
2025-02-26,4.375,2.7998184070701577,2.7998184070701577
2025-03-03,4.875,3.2441523484806756,3.2441523484806756
2025-03-04,5.5,3.7995697752438233,3.7995697752438233
2025-03-05,1.375,0.13381475860705033,0.13381475860705033
2025-03-06,5.375,3.688486289891194,3.688486289891194
2025-03-10,1.5625,0.3004399866359945,0.3004399866359945
2025-03-11,4.875,3.2441523484806756,3.2441523484806756
2025-03-14,2.875,1.4668165828386042,1.4668165828386042
2025-03-17,0.75,-0.4216026681560971,-0.4216026681560971
2025-03-18,0.5625,-0.5882278961850413,-0.5882278961850413
2025-03-19,0.5625,-0.5882278961850413,-0.5882278961850413
2025-03-20,1.5,0.2448982439596798,0.2448982439596798
