,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,50.0,52.0,52.0,49.0,51.0,67.0
mean,4.23,5.302884615384615,5.221153846153846,2.2244897959183674,3.1323529411764706,7.611940298507463
std,1.6216330896818245,2.827272874696386,2.1441060606688005,1.062187328943773,3.0730086809088544,4.0599866542570515
min,1.75,0.75,1.75,1.0,1.0,1.5
5%,2.0,2.5250000000000004,2.5250000000000004,1.25,1.25,1.8250000000000002
25%,3.5,3.4375,3.75,1.5,2.0,4.875
50%,3.75,4.5,5.0,2.0,2.5,7.25
68%,4.58,5.67,5.75,2.25,3.25,8.75
90%,6.050000000000001,8.475,7.949999999999999,3.5500000000000007,4.25,11.5
95%,6.912499999999998,11.037499999999993,9.537499999999993,4.549999999999997,4.75,13.624999999999995
99%,9.024999999999995,14.490000000000002,11.1225,5.25,14.625,20.940000000000012
99.7%,9.882500000000004,14.847000000000001,11.21175,5.25,20.662500000000023,22.557000000000023
max,10.25,15.0,11.25,5.25,23.25,23.25
