,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,34.0,34.0,43.0,34.0,34.0,45.0
mean,6.926470588235294,3.963235294117647,2.7732558139534884,1.9338235294117647,3.6470588235294117,7.838888888888889
std,2.3139313029704036,1.4682657685859961,1.618176105741147,2.0135044298750775,1.9297488130022058,3.793743187636371
min,2.0,1.75,0.75,0.75,0.5,2.0
5%,4.15,1.75,1.025,0.75,1.4125,3.25
25%,5.5,2.75,1.75,1.0,2.5,5.5
50%,6.375,4.0,2.25,1.375,3.25,7.25
68%,7.5,4.5,3.25,1.75,3.8600000000000003,8.48
90%,10.1,6.175,4.150000000000002,3.75,5.85,12.0
95%,11.5125,6.5874999999999995,5.199999999999999,3.8374999999999995,6.612499999999996,13.549999999999997
99%,12.0,6.9175,8.214999999999993,9.360000000000014,9.257500000000004,19.530000000000015
99.7%,12.0,6.975250000000001,9.46450000000001,11.208000000000027,9.777250000000008,21.609000000000016
max,12.0,7.0,10.0,12.0,10.0,22.5
