date,return,All Data ZScore,This Batch ZScore
2025-01-06,4.5,-0.32508277527565016,0.4910601061026607
2025-01-06,6.0,0.3781575140961642,1.5487280269391603
2025-01-07,2.0,-1.497149924228674,-1.2717197619581722
2025-01-07,3.75,-0.6767029199615573,-0.03777385431558914
2025-01-07,1.75,-1.6143566391239765,-1.4479977487642555
2025-01-07,6.25,0.4953642289914666,1.7250060137452436
2025-01-07,2.25,-1.3799432093333717,-1.0954417751520888
2025-01-08,3.0,-1.0283230646474646,-0.566607814733839
2025-01-08,4.0,-0.559496205066255,0.13850413249049415
2025-01-08,3.5,-0.7939096348568597,-0.21405184112167241
2025-01-08,4.25,-0.44228949017095254,0.31478211929657746
2025-01-08,5.5,0.14374408430555943,1.196172053326994
2025-01-09,2.75,-1.145529779542767,-0.7428858015399222
2025-01-09,3.75,-0.6767029199615573,-0.03777385431558914
