Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,1.75,-0.4526809295847128,-0.4526809295847128
2022-12-21,2.0,-0.3177694891977791,-0.3177694891977791
2022-12-27,2.5,-0.04794660842391161,-0.04794660842391161
2022-12-28,2.0,-0.3177694891977791,-0.3177694891977791
2022-12-29,2.75,0.08696483196302213,0.08696483196302213
2022-12-30,2.5,-0.04794660842391161,-0.04794660842391161
2023-01-03,5.75,1.705902116606227,1.705902116606227
2023-01-04,4.0,0.7615220338976908,0.7615220338976908
2023-01-05,2.5,-0.04794660842391161,-0.04794660842391161
2023-01-10,2.5,-0.04794660842391161,-0.04794660842391161
2023-01-11,3.75,0.6266105935107571,0.6266105935107571
2023-01-17,2.0,-0.3177694891977791,-0.3177694891977791
2023-01-19,2.25,-0.18285804881084533,-0.18285804881084533
2023-01-20,1.75,-0.4526809295847128,-0.4526809295847128
2023-01-23,1.5,-0.5875923699716465,-0.5875923699716465
2023-01-24,1.75,-0.4526809295847128,-0.4526809295847128
2023-01-25,2.75,0.08696483196302213,0.08696483196302213
2023-01-30,2.25,-0.18285804881084533,-0.18285804881084533
2023-01-31,5.0,1.3011677954454257,1.3011677954454257
2023-02-01,4.5,1.0313449146715583,1.0313449146715583
2023-02-02,2.75,0.08696483196302213,0.08696483196302213
2023-02-06,3.5,0.49169915312382334,0.49169915312382334
2023-02-07,2.0,-0.3177694891977791,-0.3177694891977791
2023-02-08,4.0,0.7615220338976908,0.7615220338976908
2023-02-09,3.25,0.3567877127368896,0.3567877127368896
2023-02-15,2.5,-0.04794660842391161,-0.04794660842391161
2023-02-17,1.5,-0.5875923699716465,-0.5875923699716465
2023-02-21,2.0,-0.3177694891977791,-0.3177694891977791
2023-02-22,2.25,-0.18285804881084533,-0.18285804881084533
2023-02-27,9.25,3.594662282023299,3.594662282023299
2023-02-28,10.75,4.404130924344901,4.404130924344901
2023-03-01,9.25,3.594662282023299,3.594662282023299
2023-03-02,8.5,3.189927960862498,3.189927960862498
2023-03-03,7.75,2.785193639701697,2.785193639701697
2023-03-06,9.25,3.594662282023299,3.594662282023299
2023-03-07,2.0,-0.3177694891977791,-0.3177694891977791
2023-03-08,2.75,0.08696483196302213,0.08696483196302213
2023-03-09,4.5,1.0313449146715583,1.0313449146715583
2023-03-16,5.0,1.3011677954454257,1.3011677954454257
2023-03-20,4.75,1.166256355058492,1.166256355058492
2023-03-21,2.75,0.08696483196302213,0.08696483196302213
2023-03-22,11.0,4.539042364731835,4.539042364731835
2023-03-23,8.0,2.9201050800886303,2.9201050800886303
2023-03-24,2.5,-0.04794660842391161,-0.04794660842391161
2023-03-27,2.5,-0.04794660842391161,-0.04794660842391161
2023-03-28,4.75,1.166256355058492,1.166256355058492
2023-03-29,2.0,-0.3177694891977791,-0.3177694891977791
2023-04-03,1.75,-0.4526809295847128,-0.4526809295847128
2023-04-04,2.25,-0.18285804881084533,-0.18285804881084533
2023-04-05,3.75,0.6266105935107571,0.6266105935107571
2023-04-06,2.25,-0.18285804881084533,-0.18285804881084533
2023-04-11,1.75,-0.4526809295847128,-0.4526809295847128
2023-04-17,2.25,-0.18285804881084533,-0.18285804881084533
2023-04-18,1.5,-0.5875923699716465,-0.5875923699716465
2023-04-19,2.5,-0.04794660842391161,-0.04794660842391161
2023-04-20,1.0,-0.8574152507455141,-0.8574152507455141
2023-04-21,1.25,-0.7225038103585802,-0.7225038103585802
2023-04-24,3.75,0.6266105935107571,0.6266105935107571
2023-04-25,3.5,0.49169915312382334,0.49169915312382334
2023-04-26,3.75,0.6266105935107571,0.6266105935107571
2023-05-01,4.0,0.7615220338976908,0.7615220338976908
2023-05-02,2.0,-0.3177694891977791,-0.3177694891977791
2023-05-03,11.5,4.808865245505703,4.808865245505703
2023-05-04,5.25,1.4360792358323595,1.4360792358323595
2023-05-09,2.0,-0.3177694891977791,-0.3177694891977791
2023-05-15,1.75,-0.4526809295847128,-0.4526809295847128
2023-05-16,2.75,0.08696483196302213,0.08696483196302213
2023-05-17,1.75,-0.4526809295847128,-0.4526809295847128
2023-05-18,2.25,-0.18285804881084533,-0.18285804881084533
