,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,34.0,34.0,43.0,34.0,34.0,45.0
mean,2.9338235294117645,1.5955882352941178,0.9767441860465116,0.9044117647058824,1.5955882352941178,3.111111111111111
std,2.0087958321310717,1.295409590488709,0.8448266120510639,1.6810155501533581,1.1997706628742684,2.817132828557676
min,0.0,0.0,0.0,0.25,0.0,0.0
5%,0.32500000000000007,0.16250000000000003,0.25,0.25,0.25,0.050000000000000044
25%,1.0625,0.5625,0.5,0.25,0.75,1.0
50%,2.625,1.375,0.75,0.375,1.125,2.25
68%,4.330000000000001,2.25,1.0,0.6100000000000003,2.1100000000000003,3.75
90%,5.5,3.175,1.75,1.75,3.175,6.600000000000001
95%,5.924999999999999,3.5874999999999995,2.4499999999999993,2.1874999999999973,3.7624999999999984,7.649999999999999
99%,6.25,5.090000000000003,3.8299999999999983,7.5225000000000115,4.4175,11.63000000000001
99.7%,6.25,5.552000000000007,4.124000000000002,9.081750000000023,4.475250000000001,12.939000000000009
max,6.25,5.75,4.25,9.75,4.5,13.5
