Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZN)",All Data ZScore,Current data (Latest 2 weeks) ZScore
2024-12-27,5.0,-0.07869663218912652,-0.023358002028609114
2024-12-30,2.75,-1.097913990540986,-1.0744680933160229
2024-12-31,6.75,0.7140279798623198,0.7941720689727128
2025-01-02,7.5,1.0537670993129398,1.1445420994018507
2025-01-03,5.0,-0.07869663218912652,-0.023358002028609114
2025-01-06,4.5,-0.30518937848953975,-0.2569380223147011
2025-01-07,6.25,0.4875352335619066,0.5605920486866208
2025-01-08,4.25,-0.4184357516397464,-0.37372803245774705
2025-01-09,3.75,-0.6449284979401596,-0.607308052743839
2025-01-10,7.25,0.9405207261627331,1.0277520892588048
2025-01-13,3.5,-0.7581748710903663,-0.724098062886885
2025-01-14,3.0,-0.9846676173907796,-0.957678083172977
2025-01-15,4.25,-0.4184357516397464,-0.37372803245774705
2025-01-16,10.0,2.186230830815006,2.3124422008323107
2025-01-17,2.0,-1.4376531099916061,-1.4248381237451608
