Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-09-30,7.75,-0.04093799590342075,-0.04093799590342075
2024-10-01,10.75,0.6401213904898502,0.6401213904898502
2024-10-02,9.0,0.2428367484271088,0.2428367484271088
2024-10-03,8.25,0.07257190182879107,0.07257190182879107
2024-10-06,3.25,-1.0625270754933271,-1.0625270754933271
2024-10-07,7.25,-0.15444789363563258,-0.15444789363563258
2024-10-08,6.75,-0.2679577913678444,-0.2679577913678444
2024-10-09,8.0,0.01581695296268516,0.01581695296268516
2024-10-13,1.5,-1.4598117175560685,-1.4598117175560685
2024-10-14,6.75,-0.2679577913678444,-0.2679577913678444
2024-10-16,4.5,-0.7787523311627976,-0.7787523311627976
2024-10-17,7.5,-0.09769294476952667,-0.09769294476952667
2024-10-18,5.5,-0.551732535698374,-0.551732535698374
2024-10-20,2.0,-1.3463018198238568,-1.3463018198238568
2024-10-21,14.0,1.377935725749227,1.377935725749227
2024-10-22,7.0,-0.21120284250173849,-0.21120284250173849
2024-10-23,4.75,-0.7219973822966916,-0.7219973822966916
2024-10-24,5.0,-0.6652424334305858,-0.6652424334305858
2024-10-27,6.0,-0.4382226379661621,-0.4382226379661621
2024-10-28,7.5,-0.09769294476952667,-0.09769294476952667
2024-10-29,10.75,0.6401213904898502,0.6401213904898502
2024-11-03,3.75,-0.9490171777611154,-0.9490171777611154
2024-11-04,7.25,-0.15444789363563258,-0.15444789363563258
2024-11-05,23.25,3.4778688337951458,3.4778688337951458
2024-11-06,10.75,0.6401213904898502,0.6401213904898502
2024-11-07,15.5,1.7184654189458626,1.7184654189458626
2024-11-10,3.75,-0.9490171777611154,-0.9490171777611154
2024-11-11,6.25,-0.38146768910005624,-0.38146768910005624
2024-11-15,12.75,1.0941609814186974,1.0941609814186974
2024-11-17,2.5,-1.2327919220916448,-1.2327919220916448
2024-11-18,9.25,0.2995916972932147,0.2995916972932147
2024-11-19,8.0,0.01581695296268516,0.01581695296268516
2024-11-20,5.25,-0.6084874845644799,-0.6084874845644799
2024-11-21,7.0,-0.21120284250173849,-0.21120284250173849
2024-11-24,3.75,-0.9490171777611154,-0.9490171777611154
2024-11-25,11.5,0.8103862370881679,0.8103862370881679
2024-11-26,5.5,-0.551732535698374,-0.551732535698374
2024-11-28,5.75,-0.49497758683226806,-0.49497758683226806
2024-11-29,5.75,-0.49497758683226806,-0.49497758683226806
2024-12-01,4.5,-0.7787523311627976,-0.7787523311627976
2024-12-02,9.5,0.3563466461593206,0.3563466461593206
2024-12-03,10.0,0.4698565438915324,0.4698565438915324
2024-12-04,9.5,0.3563466461593206,0.3563466461593206
2024-12-05,8.25,0.07257190182879107,0.07257190182879107
2024-12-08,4.0,-0.8922622288950094,-0.8922622288950094
2024-12-10,9.5,0.3563466461593206,0.3563466461593206
2024-12-13,10.0,0.4698565438915324,0.4698565438915324
2024-12-15,1.75,-1.4030567686899627,-1.4030567686899627
2024-12-16,5.25,-0.6084874845644799,-0.6084874845644799
2024-12-17,7.25,-0.15444789363563258,-0.15444789363563258
2024-12-18,18.0,2.286014907606922,2.286014907606922
2024-12-22,1.75,-1.4030567686899627,-1.4030567686899627
2024-12-23,8.75,0.1860817995610029,0.1860817995610029
2024-12-24,4.5,-0.7787523311627976,-0.7787523311627976
2024-12-25,3.25,-1.0625270754933271,-1.0625270754933271
2024-12-26,8.0,0.01581695296268516,0.01581695296268516
2024-12-27,5.75,-0.49497758683226806,-0.49497758683226806
2024-12-29,1.5,-1.4598117175560685,-1.4598117175560685
2024-12-30,11.0,0.696876339355956,0.696876339355956
2024-12-31,7.75,-0.04093799590342075,-0.04093799590342075
2025-01-01,3.25,-1.0625270754933271,-1.0625270754933271
2025-01-02,8.5,0.12932685069489697,0.12932685069489697
2025-01-03,7.25,-0.15444789363563258,-0.15444789363563258
2025-01-05,3.5,-1.0057721266272213,-1.0057721266272213
2025-01-06,7.5,-0.09769294476952667,-0.09769294476952667
2025-01-07,9.0,0.2428367484271088,0.2428367484271088
2025-01-08,7.25,-0.15444789363563258,-0.15444789363563258
2025-01-09,4.75,-0.7219973822966916,-0.7219973822966916
2025-01-12,4.25,-0.8355072800289035,-0.8355072800289035
2025-01-16,12.0,0.9238961348203797,0.9238961348203797
2025-01-17,7.25,-0.15444789363563258,-0.15444789363563258
2025-01-19,2.25,-1.289546870957751,-1.289546870957751
2025-01-20,13.75,1.3211807768831212,1.3211807768831212
2025-01-21,7.5,-0.09769294476952667,-0.09769294476952667
2025-01-22,7.0,-0.21120284250173849,-0.21120284250173849
2025-01-23,6.75,-0.2679577913678444,-0.2679577913678444
2025-01-26,4.0,-0.8922622288950094,-0.8922622288950094
2025-01-27,11.25,0.753631288222062,0.753631288222062
2025-01-28,7.0,-0.21120284250173849,-0.21120284250173849
2025-01-29,9.5,0.3563466461593206,0.3563466461593206
2025-02-02,9.5,0.3563466461593206,0.3563466461593206
2025-02-03,8.0,0.01581695296268516,0.01581695296268516
2025-02-04,9.5,0.3563466461593206,0.3563466461593206
2025-02-05,11.5,0.8103862370881679,0.8103862370881679
2025-02-06,5.0,-0.6652424334305858,-0.6652424334305858
2025-02-09,2.75,-1.176036973225539,-1.176036973225539
2025-02-11,6.25,-0.38146768910005624,-0.38146768910005624
2025-02-14,10.75,0.6401213904898502,0.6401213904898502
2025-02-16,2.75,-1.176036973225539,-1.176036973225539
2025-02-17,3.75,-0.9490171777611154,-0.9490171777611154
2025-02-18,6.25,-0.38146768910005624,-0.38146768910005624
