Volatility of Returns Statistic,"(Session:All day, Interval:15m, Symbol:ZN)"
count,186.0
mean,8.482548539356518
std,5.08833897311244
min,0.0
10%,3.375
25%,5.25
50%,7.5
75%,10.4375
95%,17.25
99%,26.76250000000004
max,38.25
skewness,2.1977362928174013
kurtosis,8.589477399730473
