,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,365.0,370.0,370.0,363.0,345.0,455.0
mean,2.2424657534246575,3.0702702702702704,2.008783783783784,0.579272729962984,1.3144927536231885,4.750566889165524
std,1.9406841299830082,2.650956248685949,1.796966694938265,0.7760214296980342,1.3524875189982992,4.54195422144724
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.0,0.25
25%,0.75,1.25,0.75,0.0,0.5,1.25
50%,2.0,2.5,1.5,0.25,1.0,3.75
68%,2.75,3.5,2.25,0.75,1.5,5.75
90%,4.400000000000006,6.25,4.0,1.5,2.5,10.5
95%,5.25,8.137500000000003,5.0,2.0,3.5,13.074999999999989
99%,8.720000000000027,12.5775,8.3275,3.5,5.140000000000001,20.97999999999999
99.7%,11.75,14.642999999999972,11.48249999999993,4.206999999999994,7.202000000000027,23.909499999999994
max,19.0,16.75,14.25,4.5,15.75,26.5
