Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-03,3.75,-0.17324221637310055,-0.17324221637310055
2024-11-04,3.75,-0.17324221637310055,-0.17324221637310055
2024-11-05,10.75,2.262216946988506,2.262216946988506
2024-11-06,2.75,-0.5211649539961871,-0.5211649539961871
2024-11-07,4.0,-0.0862615319673289,-0.0862615319673289
2024-11-08,1.75,-0.8690876916192738,-0.8690876916192738
2024-11-10,3.0,-0.4341842695904155,-0.4341842695904155
2024-11-11,3.0,-0.4341842695904155,-0.4341842695904155
2024-11-12,1.25,-1.0430490604308171,-1.0430490604308171
2024-11-15,2.25,-0.6951263228077305,-0.6951263228077305
2024-11-17,2.0,-0.7821070072135021,-0.7821070072135021
2024-11-18,1.5,-0.9560683760250455,-0.9560683760250455
2024-11-19,3.0,-0.4341842695904155,-0.4341842695904155
2024-11-20,2.0,-0.7821070072135021,-0.7821070072135021
2024-11-21,1.75,-0.8690876916192738,-0.8690876916192738
2024-11-22,2.0,-0.7821070072135021,-0.7821070072135021
2024-11-24,3.75,-0.17324221637310055,-0.17324221637310055
2024-11-25,3.5,-0.2602229007788722,-0.2602229007788722
2024-11-26,1.75,-0.8690876916192738,-0.8690876916192738
2024-12-01,5.0,0.26166120565575773,0.26166120565575773
2024-12-02,4.5,0.08769983684421441,0.08769983684421441
2024-12-03,3.75,-0.17324221637310055,-0.17324221637310055
2024-12-04,3.0,-0.4341842695904155,-0.4341842695904155
2024-12-05,3.75,-0.17324221637310055,-0.17324221637310055
2024-12-08,3.75,-0.17324221637310055,-0.17324221637310055
2024-12-09,3.0,-0.4341842695904155,-0.4341842695904155
2024-12-10,2.75,-0.5211649539961871,-0.5211649539961871
2024-12-13,1.5,-0.9560683760250455,-0.9560683760250455
2024-12-15,1.75,-0.8690876916192738,-0.8690876916192738
2024-12-16,1.5,-0.9560683760250455,-0.9560683760250455
2024-12-17,2.25,-0.6951263228077305,-0.6951263228077305
2024-12-18,4.75,0.17468052124998606,0.17468052124998606
2024-12-22,1.75,-0.8690876916192738,-0.8690876916192738
2024-12-23,1.75,-0.8690876916192738,-0.8690876916192738
2024-12-25,1.25,-1.0430490604308171,-1.0430490604308171
2024-12-26,1.5,-0.9560683760250455,-0.9560683760250455
2024-12-27,1.5,-0.9560683760250455,-0.9560683760250455
2024-12-29,1.5,-0.9560683760250455,-0.9560683760250455
2024-12-30,2.0,-0.7821070072135021,-0.7821070072135021
2024-12-31,1.25,-1.0430490604308171,-1.0430490604308171
2025-01-01,3.0,-0.4341842695904155,-0.4341842695904155
2025-01-02,2.0,-0.7821070072135021,-0.7821070072135021
2025-01-03,0.5,-1.3039911136481321,-1.3039911136481321
2025-01-05,2.0,-0.7821070072135021,-0.7821070072135021
2025-01-06,3.5,-0.2602229007788722,-0.2602229007788722
2025-01-07,2.25,-0.6951263228077305,-0.6951263228077305
2025-01-08,3.25,-0.34720358518464384,-0.34720358518464384
2025-01-09,0.75,-1.2170104292423605,-1.2170104292423605
2025-01-12,2.75,-0.5211649539961871,-0.5211649539961871
2025-01-13,4.5,0.08769983684421441,0.08769983684421441
2025-01-16,2.25,-0.6951263228077305,-0.6951263228077305
2025-01-17,3.0040283203122726,-0.4327827253593469,-0.4327827253593469
2025-01-19,1.25,-1.0430490604308171,-1.0430490604308171
2025-01-20,5.0,0.26166120565575773,0.26166120565575773
2025-01-21,3.75,-0.17324221637310055,-0.17324221637310055
2025-01-22,2.5,-0.6081456384019588,-0.6081456384019588
2025-01-23,1.25,-1.0430490604308171,-1.0430490604308171
2025-01-24,1.25,-1.0430490604308171,-1.0430490604308171
2025-01-26,2.75,-0.5211649539961871,-0.5211649539961871
2025-01-27,4.0,-0.0862615319673289,-0.0862615319673289
2025-01-28,2.5,-0.6081456384019588,-0.6081456384019588
2025-01-29,3.0,-0.4341842695904155,-0.4341842695904155
2025-02-02,6.0,0.6095839432788444,0.6095839432788444
2025-02-03,6.25,0.696564627684616,0.696564627684616
2025-02-04,2.75,-0.5211649539961871,-0.5211649539961871
2025-02-05,3.5,-0.2602229007788722,-0.2602229007788722
2025-02-06,4.25,0.0007191524384427506,0.0007191524384427506
2025-02-09,2.75,-0.5211649539961871,-0.5211649539961871
2025-02-10,4.0,-0.0862615319673289,-0.0862615319673289
2025-02-11,2.5,-0.6081456384019588,-0.6081456384019588
2025-02-14,3.25,-0.34720358518464384,-0.34720358518464384
2025-02-17,1.0,-1.1300297448365888,-1.1300297448365888
2025-02-18,3.75,-0.17324221637310055,-0.17324221637310055
2025-02-19,3.0,-0.4341842695904155,-0.4341842695904155
2025-02-20,1.25,-1.0430490604308171,-1.0430490604308171
2025-02-21,6.25,0.696564627684616,0.696564627684616
2025-02-24,3.5,-0.2602229007788722,-0.2602229007788722
2025-02-25,4.0,-0.0862615319673289,-0.0862615319673289
2025-02-26,8.75,1.5663714717423325,1.5663714717423325
2025-03-03,5.0,0.26166120565575773,0.26166120565575773
2025-03-04,12.0,2.697120369017364,2.697120369017364
2025-03-05,5.0,0.26166120565575773,0.26166120565575773
2025-03-06,7.5,1.1314680497134741,1.1314680497134741
2025-03-10,3.25,-0.34720358518464384,-0.34720358518464384
2025-03-11,10.5,2.175236262582734,2.175236262582734
2025-03-14,3.25,-0.34720358518464384,-0.34720358518464384
2025-03-17,6.5,0.7835453120903876,0.7835453120903876
2025-03-18,5.5,0.435622574467301,0.435622574467301
2025-03-19,8.75,1.5663714717423325,1.5663714717423325
