Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,0.5,-0.9785785254270691,-0.9785785254270691
2024-10-14,1.625,-0.4226545336047999,-0.4226545336047999
2024-10-15,1.375,-0.546193198454193,-0.546193198454193
2024-10-16,1.0625007999999525,-0.7006161341922305,-0.7006161341922305
2024-10-17,2.3125007999999525,-0.08292280994526466,-0.08292280994526466
2024-10-18,1.3124992000000475,-0.5770782599902454,-0.5770782599902454
2024-10-20,0.375,-1.0403478578517658,-1.0403478578517658
2024-10-21,3.125,0.3185774554915591,0.3185774554915591
2024-10-22,1.5624992000000475,-0.45353959514085224,-0.45353959514085224
2024-10-23,1.3125007999999525,-0.5770774693428373,-0.5770774693428373
2024-10-24,1.4375007999999525,-0.5153081369181407,-0.5153081369181407
2024-10-25,2.625,0.07150012579277275,0.07150012579277275
2024-10-27,1.0,-0.7315011957282828,-0.7315011957282828
2024-10-28,1.875,-0.29911586875540674,-0.29911586875540674
2024-10-29,2.5,0.009730793368076167,0.009730793368076167
2024-11-03,1.1874992000000475,-0.6388475924149419,-0.6388475924149419
2024-11-04,1.8124992000000475,-0.33000093029145905,-0.33000093029145905
2024-11-05,4.6874992000000475,1.0906937154765624,1.0906937154765624
2024-11-06,2.25,-0.11380787148131699,-0.11380787148131699
2024-11-07,2.375,-0.05203853905662041,-0.05203853905662041
2024-11-08,2.75,0.13326945821746933,0.13326945821746933
2024-11-10,0.75,-0.855039860577676,-0.855039860577676
2024-11-11,1.375,-0.546193198454193,-0.546193198454193
2024-11-12,2.25,-0.11380787148131699,-0.11380787148131699
2024-11-15,3.125,0.3185774554915591,0.3185774554915591
2024-11-17,0.8124992000000475,-0.8241555896890317,-0.8241555896890317
2024-11-18,1.6874992000000475,-0.39177026271615567,-0.39177026271615567
2024-11-19,2.3125007999999525,-0.08292280994526466,-0.08292280994526466
2024-11-20,1.25,-0.6079625308788896,-0.6079625308788896
2024-11-21,2.0,-0.23734653633071015,-0.23734653633071015
2024-11-22,1.875,-0.29911586875540674,-0.29911586875540674
2024-11-24,0.875,-0.7932705281529794,-0.7932705281529794
2024-11-25,2.6874992000000475,0.102384396681417,0.102384396681417
2024-11-26,1.75,-0.3608852011801033,-0.3608852011801033
2024-11-28,0.875,-0.7932705281529794,-0.7932705281529794
2024-11-29,4.6875,1.0906941108002663,1.0906941108002663
2024-12-01,3.875,0.6891934500397385,0.6891934500397385
2024-12-02,4.75,1.1215787770126147,1.1215787770126147
2024-12-03,1.5625,-0.4535391998171482,-0.4535391998171482
2024-12-04,2.75,0.13326945821746933,0.13326945821746933
2024-12-05,3.375,0.4421161203409522,0.4421161203409522
2024-12-09,2.5,0.009730793368076167,0.009730793368076167
2024-12-10,2.1875,-0.14469253769366527,-0.14469253769366527
2024-12-13,2.125,-0.17557720390601358,-0.17557720390601358
2024-12-15,0.4375,-1.0094631916394174,-1.0094631916394174
2024-12-16,1.4375,-0.5153085322418448,-0.5153085322418448
2024-12-17,2.0,-0.23734653633071015,-0.23734653633071015
2024-12-18,5.3125,1.3995407729237492,1.3995407729237492
2024-12-22,0.4375,-1.0094631916394174,-1.0094631916394174
2024-12-23,1.1875,-0.6388471970912379,-0.6388471970912379
2024-12-24,1.0,-0.7315011957282828,-0.7315011957282828
2024-12-25,0.75,-0.855039860577676,-0.855039860577676
2024-12-26,1.375,-0.546193198454193,-0.546193198454193
