Volatility of Returns Statistic,"(Session:London 0-7 ET, Interval:1h, Symbol:ZN)"
count,404.0
mean,4.688777205967668
std,2.567642387534015
min,1.5
10%,2.5
25%,3.25
50%,4.0
75%,5.25
95%,9.962499999999991
99%,15.462499999999963
max,21.75
skewness,2.8446064835180027
kurtosis,11.712335650050752
