Volatility of Returns Statistic,"(Session:All day, Interval:1m, Symbol:ZN)"
count,15.0
mean,7.533333333333333
std,3.838092284058889
min,3.25
10%,3.8000000000000003
25%,4.875
50%,7.25
75%,8.875
95%,14.224999999999996
99%,16.044999999999998
max,16.5
skewness,1.1128785028795358
kurtosis,0.6921497606366893
