Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZN)",All Data ZScore,Current data (Latest 2 weeks) ZScore
2024-12-26,2.0,-0.3660231255487248,-0.40954384547834827
2024-12-29,1.5,-0.5370339301083749,-0.9946064818759885
2024-12-30,2.0,-0.3660231255487248,-0.40954384547834827
2025-01-01,3.25,0.06150388585040039,1.0531127455157523
2025-01-02,2.0,-0.3660231255487248,-0.40954384547834827
2025-01-05,3.5,0.14700928813022543,1.3456440637145726
2025-01-06,2.75,-0.10950691870924968,0.4680501091181121
2025-01-07,2.0,-0.3660231255487248,-0.40954384547834827
2025-01-08,3.0,-0.024001516429424646,0.7605814273169322
2025-01-09,2.25,-0.28051772326889973,-0.11701252727952816
2025-01-12,4.25,0.4035254949697005,2.223238018311033
2025-01-13,2.5,-0.19501232098907473,0.17551879091929198
2025-01-14,1.5,-0.5370339301083749,-0.9946064818759885
2025-01-15,1.5,-0.5370339301083749,-0.9946064818759885
2025-01-16,1.25,-0.6225393323881999,-1.2871378000748086
