"(Return Stats:- Interval:1d, Symbol:FGBL)",All day
count,3309.0
mean,36.78845572680568
std,33.477012628805504
min,0.0
5%,2.9999999999984084
25%,12.999999999999545
50%,28.000000000000114
68%,43.00000000000068
90%,78.00000000000011
95%,101.00000000000193
99%,157.68000000000137
99.7%,207.15199999999945
max,294.99999999999886
