Date,"Volatility of Returns (Session:All day, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,7.5,-0.29797533123714776,-0.29797533123714776
2022-12-21,11.0,0.3691613971550211,0.3691613971550211
2022-12-27,12.75,0.7027297613511055,0.7027297613511055
2022-12-28,9.0,-0.012059590497646816,-0.012059590497646816
2022-12-29,6.5,-0.4885858250634817,-0.4885858250634817
2022-12-30,9.25,0.03559303295893667,0.03559303295893667
2023-01-03,9.25,0.03559303295893667,0.03559303295893667
2023-01-04,7.0,-0.3932805781503147,-0.3932805781503147
2023-01-05,10.25,0.22620352678527061,0.22620352678527061
2023-01-08,2.75,-1.203375176912234,-1.203375176912234
2023-01-09,11.25,0.41681402061160455,0.41681402061160455
2023-01-10,11.5,0.46446664406818805,0.46446664406818805
2023-01-11,8.5,-0.10736483741081379,-0.10736483741081379
2023-01-13,11.75,0.5121192675247715,0.5121192675247715
2023-01-15,3.0,-1.1557225534556506,-1.1557225534556506
2023-01-17,13.25,0.7980350082642724,0.7980350082642724
2023-01-19,13.5,0.8456876317208559,0.8456876317208559
2023-01-20,11.0,0.3691613971550211,0.3691613971550211
2023-01-22,3.0,-1.1557225534556506,-1.1557225534556506
2023-01-23,10.0,0.17855090332868714,0.17855090332868714
2023-01-24,11.25,0.41681402061160455,0.41681402061160455
2023-01-25,7.75,-0.25032270778056426,-0.25032270778056426
2023-01-29,3.75,-1.0127646830859,-1.0127646830859
2023-01-30,9.75,0.13089827987210365,0.13089827987210365
2023-01-31,7.75,-0.25032270778056426,-0.25032270778056426
2023-02-01,16.5,1.417519113199858,1.417519113199858
2023-02-02,11.0,0.3691613971550211,0.3691613971550211
2023-02-05,4.25,-0.9174594361727331,-0.9174594361727331
2023-02-06,16.0,1.322213866286691,1.322213866286691
2023-02-07,11.25,0.41681402061160455,0.41681402061160455
2023-02-08,6.5,-0.4885858250634817,-0.4885858250634817
2023-02-09,13.0,0.7503823848076889,0.7503823848076889
2023-02-10,9.5,0.08324565641552016,0.08324565641552016
2023-02-12,2.75,-1.203375176912234,-1.203375176912234
2023-02-13,6.25,-0.5362384485200652,-0.5362384485200652
2023-02-15,10.25,0.22620352678527061,0.22620352678527061
2023-02-17,13.0,0.7503823848076889,0.7503823848076889
2023-02-19,3.25,-1.108069929999067,-1.108069929999067
2023-02-21,14.25,0.9886455020906064,0.9886455020906064
2023-02-22,7.5,-0.29797533123714776,-0.29797533123714776
2023-02-26,3.0,-1.1557225534556506,-1.1557225534556506
2023-02-27,17.25,1.5604769835696082,1.5604769835696082
2023-02-28,15.75,1.2745612428301074,1.2745612428301074
2023-03-01,20.75,2.227613711961777,2.227613711961777
2023-03-02,15.5,1.226908619373524,1.226908619373524
2023-03-03,15.5,1.226908619373524,1.226908619373524
2023-03-05,10.5,0.2738561502418541,0.2738561502418541
2023-03-06,15.75,1.2745612428301074,1.2745612428301074
2023-03-07,12.25,0.6074245144379385,0.6074245144379385
2023-03-08,12.25,0.6074245144379385,0.6074245144379385
2023-03-09,27.25,3.466581921832948,3.466581921832948
2023-03-12,21.5,2.3705715823315274,2.3705715823315274
2023-03-13,36.0,5.13442374281337,5.13442374281337
2023-03-16,31.75,4.32432914405145,4.32432914405145
2023-03-17,27.75,3.561887168746115,3.561887168746115
2023-03-19,13.75,0.8933402551774394,0.8933402551774394
2023-03-20,31.25,4.229023897138283,4.229023897138283
2023-03-21,22.25,2.513529452701278,2.513529452701278
2023-03-22,28.75,3.752497662572449,3.752497662572449
2023-03-23,19.5,1.9893505946788597,1.9893505946788597
2023-03-24,18.0,1.7034348539393587,1.7034348539393587
2023-03-26,5.0,-0.7745015658029826,-0.7745015658029826
2023-03-27,20.5,2.1799610885051934,2.1799610885051934
2023-03-28,11.25,0.41681402061160455,0.41681402061160455
2023-03-29,10.5,0.2738561502418541,0.2738561502418541
2023-04-02,6.5,-0.4885858250634817,-0.4885858250634817
2023-04-03,17.75,1.6557822304827752,1.6557822304827752
2023-04-04,19.25,1.9416979712222762,1.9416979712222762
2023-04-05,14.75,1.0839507490037734,1.0839507490037734
2023-04-06,9.0,-0.012059590497646816,-0.012059590497646816
2023-04-09,2.25,-1.298680423825401,-1.298680423825401
2023-04-10,9.75,0.13089827987210365,0.13089827987210365
2023-04-11,9.0,-0.012059590497646816,-0.012059590497646816
2023-04-14,16.0,1.322213866286691,1.322213866286691
2023-04-16,2.5,-1.2510278003688176,-1.2510278003688176
2023-04-17,11.5,0.46446664406818805,0.46446664406818805
2023-04-18,6.75,-0.4409332016068982,-0.4409332016068982
2023-04-19,8.0,-0.20267008432398076,-0.20267008432398076
2023-04-20,9.0,-0.012059590497646816,-0.012059590497646816
2023-04-21,9.25,0.03559303295893667,0.03559303295893667
2023-04-23,1.75,-1.393985670738568,-1.393985670738568
2023-04-24,11.25,0.41681402061160455,0.41681402061160455
2023-04-25,12.5,0.655077137894522,0.655077137894522
2023-04-26,10.25,0.22620352678527061,0.22620352678527061
2023-04-30,3.5,-1.0604173065424836,-1.0604173065424836
2023-05-01,15.25,1.1792559959169404,1.1792559959169404
2023-05-02,19.5,1.9893505946788597,1.9893505946788597
2023-05-03,20.0,2.0846558415920264,2.0846558415920264
2023-05-04,16.5,1.417519113199858,1.417519113199858
2023-05-07,3.5,-1.0604173065424836,-1.0604173065424836
2023-05-08,11.0,0.3691613971550211,0.3691613971550211
2023-05-09,6.5,-0.4885858250634817,-0.4885858250634817
2023-05-12,13.004028320312273,0.7511502249317019,0.7511502249317019
