date,return,All Data ZScore,This Batch ZScore
2025-01-03,2.75,-0.1358754206985915,-0.5260379256461185
2025-01-03,1.0,-0.7020230069427227,-1.5781137769383553
2025-01-03,5.0,0.5920286187581487,0.826631026015329
2025-01-03,3.0,-0.05499719409228701,-0.3757413754615132
2025-01-05,3.5,0.10675925912032191,-0.07514827509230264
2025-01-06,2.75,-0.1358754206985915,-0.5260379256461185
2025-01-06,5.75,0.8346632985770621,1.277520676569145
2025-01-06,3.0,-0.05499719409228701,-0.3757413754615132
2025-01-06,4.5,0.43027216554553976,0.5260379256461185
2025-01-06,6.0,0.9155415251833666,1.4278172267537501
2025-01-07,1.75,-0.45938832712380934,-1.1272241263845395
2025-01-07,3.75,0.1876374857266264,0.07514827509230264
2025-01-07,1.75,-0.45938832712380934,-1.1272241263845395
2025-01-07,6.25,0.996419751789671,1.5781137769383553
