Date,"Volatility of Returns (Session:All day, Interval:1d, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2000-09-21,5.250122070312273,-0.8679513936953838,-0.8679513936953838
2000-09-22,0.7498779296877274,-1.6454239625452696,-1.6454239625452696
2000-09-25,0.5,-1.6885934506491411,-1.6885934506491411
2000-09-26,1.500732421875,-1.5157046067433197,-1.5157046067433197
2000-09-27,0.748779296875,-1.6456137648867522,-1.6456137648867522
2000-09-28,2.0,-1.4294499871318525,-1.4294499871318525
2000-09-29,1.0,-1.6022122961433782,-1.6022122961433782
2000-10-02,0.499267578125,-1.6887199855434365,-1.6887199855434365
2000-10-03,2.5,-1.3430688326260896,-1.3430688326260896
2000-10-04,0.7501220703122726,-1.6453817842472496,-1.6453817842472496
2000-10-05,0.7496337890625,-1.6454661408434073,-1.6454661408434073
2000-10-06,1.75048828125,-1.4725562077885368,-1.4725562077885368
2000-10-09,1.75048828125,-1.4725562077885368,-1.4725562077885368
2000-10-10,3.0,-1.2566876781203267,-1.2566876781203267
2000-10-11,1.500732421875,-1.5157046067433197,-1.5157046067433197
2000-10-12,12.251220703125,0.34157457172677913,0.34157457172677913
2000-10-13,6.748779296875,-0.6090399108175977,-0.6090399108175977
2000-10-16,4.24951171875,-1.0408191484521165,-1.0408191484521165
2000-10-17,9.748779296875,-0.09075298378302041,-0.09075298378302041
2000-10-18,15.2496337890625,0.859587339823716,0.859587339823716
2000-10-19,9.0,-0.22011382405117214,-0.22011382405117214
2000-10-20,5.7503662109375,-0.7815280608914831,-0.7815280608914831
2000-10-23,5.75048828125,-0.7815069717424338,-0.7815069717424338
2000-10-24,8.0,-0.39287613306269786,-0.39287613306269786
2000-10-25,11.2496337890625,0.16853810377761302,0.16853810377761302
2000-10-26,8.499267578125,-0.30662151345123057,-0.30662151345123057
2000-10-27,8.7503662109375,-0.2632411338569058,-0.2632411338569058
2000-10-30,6.7503662109375,-0.6087657518799573,-0.6087657518799573
2000-10-31,8.2496337890625,-0.3497488232569642,-0.3497488232569642
2000-11-01,3.7503662109375,-1.1270526789145345,-1.1270526789145345
2000-11-02,3.0,-1.2566876781203267,-1.2566876781203267
2000-11-03,12.2496337890625,0.3413004127891388,0.3413004127891388
2000-11-06,7.2496337890625,-0.52251113226849,-0.52251113226849
2000-11-07,5.499511718750227,-0.82486626218767,-0.82486626218767
2000-11-08,14.2503662109375,0.6869515657064859,0.6869515657064859
2000-11-09,9.4991455078125,-0.13388029358875406,-0.13388029358875406
2000-11-10,4.7503662109375,-0.9542903699030088,-0.9542903699030088
2000-11-13,4.251220703125,-1.040523900365427,-1.040523900365427
2000-11-14,6.500732421875,-0.6518930616856909,-0.6518930616856909
2000-11-15,6.0,-0.7384007510857494,-0.7384007510857494
2000-11-16,4.2496337890625,-1.0407980593030672,-1.0407980593030672
2000-11-17,5.0,-0.9111630600972751,-0.9111630600972751
2000-11-20,4.24951171875,-1.0408191484521165,-1.0408191484521165
2000-11-21,4.0,-1.0839253691088009,-1.0839253691088009
2000-11-22,7.24951171875,-0.5225322214175392,-0.5225322214175392
2000-11-24,2.7503662109375,-1.2998149879260603,-1.2998149879260603
2000-11-27,4.2496337890625,-1.0407980593030672,-1.0407980593030672
2000-11-28,7.0,-0.5656384420742236,-0.5656384420742236
2000-11-29,8.748779296875,-0.26351529279454616,-0.26351529279454616
2000-11-30,9.7503662109375,-0.09047882484538004,-0.09047882484538004
2000-12-01,6.0,-0.7384007510857494,-0.7384007510857494
2000-12-04,8.251220703125,-0.34947466431932384,-0.34947466431932384
2000-12-05,11.251220703125,0.1688122627152534,0.1688122627152534
2000-12-06,12.499267578125,0.38442772259487246,0.38442772259487246
2000-12-07,7.500732421875,-0.4791307526741652,-0.4791307526741652
2000-12-08,7.7503662109375,-0.43600344286843157,-0.43600344286843157
2000-12-11,3.4991455078125,-1.1704541476579087,-1.1704541476579087
2000-12-12,5.2496337890625,-0.8680357502915415,-0.8680357502915415
2000-12-13,11.0,0.12541079397187938,0.12541079397187938
2000-12-14,4.4991455078125,-0.9976918386463828,-0.9976918386463828
2000-12-15,5.748779296875,-0.7818022198291235,-0.7818022198291235
2000-12-18,3.748779296875,-1.1273268378521748,-1.1273268378521748
2000-12-19,1.0,-1.6022122961433782,-1.6022122961433782
2000-12-20,13.0,0.4709354119949309,0.4709354119949309
2000-12-21,10.2496337890625,-0.004224205233912716,-0.004224205233912716
2000-12-22,8.0,-0.39287613306269786,-0.39287613306269786
2000-12-26,6.24951171875,-0.695294530429065,-0.695294530429065
2000-12-27,9.2496337890625,-0.17698651424543846,-0.17698651424543846
2000-12-28,7.0,-0.5656384420742236,-0.5656384420742236
2000-12-29,6.24951171875,-0.695294530429065,-0.695294530429065
2001-01-02,22.748779296875,2.155157033366814,2.155157033366814
2001-01-03,31.2496337890625,3.6237842840081282,3.6237842840081282
2001-01-04,15.0,0.8164600300179824,0.8164600300179824
2001-01-05,16.5008544921875,1.0757511175786159,1.0757511175786159
2001-01-08,11.7503662109375,0.25504579317767145,0.25504579317767145
2001-01-09,8.0,-0.39287613306269786,-0.39287613306269786
2001-01-10,13.0,0.4709354119949309,0.4709354119949309
2001-01-11,12.0,0.2981731029834051,0.2981731029834051
2001-01-12,16.24951171875,1.0323285596861926,1.0323285596861926
2001-01-16,7.748779296875,-0.4362776018060719,-0.4362776018060719
2001-01-17,18.4991455078125,1.4209804875149776,1.4209804875149776
2001-01-18,11.75048828125,0.2550668823267207,0.2550668823267207
2001-01-19,10.500732421875,0.03915617436041205,0.03915617436041205
