Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:15m, Symbol:ZN)",All Data ZScore,Current data (Latest 2 weeks) ZScore
2024-12-17,2.75,-0.45118709920128786,0.1451498278873975
2024-12-22,3.0,-0.31804992238779306,0.36287456971849397
2024-12-23,0.5,-1.6494216905227406,-1.8143728485924706
2024-12-25,1.5,-1.1168729832687616,-0.9434738812680847
2024-12-26,3.75,0.08136160805269119,1.0160487952117834
2024-12-29,4.0,0.21449878486618595,1.2337735370428797
2024-12-30,1.5,-1.1168729832687616,-0.9434738812680847
2025-01-01,5.25,0.8801846689336598,2.322397246198362
2025-01-02,2.75,-0.45118709920128786,0.1451498278873975
2025-01-05,2.25,-0.7174614528282773,-0.2902996557747954
2025-01-06,2.5,-0.5843242760147825,-0.07257491394369894
2025-01-07,2.25,-0.7174614528282773,-0.2902996557747954
2025-01-08,2.75,-0.45118709920128786,0.1451498278873975
2025-01-09,2.25,-0.7174614528282773,-0.2902996557747954
2025-01-12,1.75,-0.9837358064552668,-0.7257491394369884
