Volatility of Returns Statistic,"(Session:US Open 7-10 ET, Interval:1h, Symbol:ZN)"
count,396.0
mean,5.5018939393939394
std,2.771720244319997
min,1.0
10%,2.75
25%,3.5
50%,4.875
75%,6.75
95%,10.75
99%,14.775000000000006
max,19.75
skewness,1.5691769225966594
kurtosis,3.603136923866295
