,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,55.0,56.0,56.0,52.0,55.0,73.0
mean,2.118181818181818,2.361607142857143,2.59375,0.8509615384615384,1.2363636363636363,3.3595890410958904
std,1.4408512027798668,2.1589768425097815,2.0755954786299498,0.7040840513979002,1.8298060650490355,3.364434671991783
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.1875,0.0,0.0,0.25
25%,0.875,0.75,0.75,0.25,0.5,0.75
50%,2.0,1.75,2.5,0.75,0.75,2.75
68%,2.6800000000000015,2.5,3.3500000000000014,1.0,1.25,4.24
90%,4.0,5.25,5.25,1.9749999999999996,2.25,6.649999999999999
95%,5.25,6.4375,6.0,2.112499999999999,2.8249999999999993,10.25
99%,5.365,9.012500000000006,8.350000000000009,2.6225000000000005,7.715000000000009,13.980000000000004
99.7%,5.4595,9.878750000000002,9.505000000000003,2.7117500000000003,11.58950000000001,15.744000000000021
max,5.5,10.25,10.0,2.75,13.25,16.5
