,All day
count,5337.0
mean,10.287078359945896
std,5.77077570599368
min,0.0
5%,4.0
25%,6.5
50%,9.0
68%,11.25
90%,17.25
95%,21.0
99%,29.570000000000164
99.7%,39.496000000000095
max,74.5
