Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,0.5,-0.9075770116566172,-0.9075770116566172
2024-10-16,0.6875007999999525,-0.7049708352056643,-0.7049708352056643
2024-10-17,0.6874992000000475,-0.704972564104224,-0.704972564104224
2024-10-18,0.5624992000000475,-0.8400427721053394,-0.8400427721053394
2024-10-21,1.25,-0.09715576364992498,-0.09715576364992498
2024-10-22,1.125,-0.23222597165104036,-0.23222597165104036
2024-10-23,0.75,-0.6374365956543865,-0.6374365956543865
2024-10-24,1.0625007999999525,-0.29976021120231816,-0.29976021120231816
2024-10-28,1.5,0.17298465235230578,0.17298465235230578
2024-10-29,1.25,-0.09715576364992498,-0.09715576364992498
2024-11-04,1.8124992000000475,0.5106593079058144,0.5106593079058144
2024-11-05,1.1874992000000475,-0.16469173209976257,-0.16469173209976257
2024-11-06,1.25,-0.09715576364992498,-0.09715576364992498
2024-11-07,2.125,0.8483356923578826,0.8483356923578826
2024-11-11,0.5,-0.9075770116566172,-0.9075770116566172
2024-11-15,2.625,1.3886165243623443,1.3886165243623443
2024-11-18,1.125,-0.23222597165104036,-0.23222597165104036
2024-11-19,0.75,-0.6374365956543865,-0.6374365956543865
2024-11-20,0.875,-0.5023663876532711,-0.5023663876532711
2024-11-21,1.8125007999999525,0.5106610368043741,0.5106610368043741
2024-11-25,1.25,-0.09715576364992498,-0.09715576364992498
2024-11-26,1.4375007999999525,0.10545041280102797,0.10545041280102797
2024-11-28,0.25,-1.177717427658848,-1.177717427658848
2024-11-29,4.1875,3.0769941243762866,3.0769941243762866
2024-12-02,4.375,3.2795994363779597,3.2795994363779597
2024-12-03,1.5,0.17298465235230578,0.17298465235230578
2024-12-04,1.8125,0.5106601723550942,0.5106601723550942
2024-12-05,3.0625,1.861362252366248,1.861362252366248
2024-12-10,1.25,-0.09715576364992498,-0.09715576364992498
2024-12-13,0.875,-0.5023663876532711,-0.5023663876532711
2024-12-16,1.1875,-0.16469086765048266,-0.16469086765048266
2024-12-17,0.4375,-0.9751121156571749,-0.9751121156571749
2024-12-18,4.8125,3.7523451643818633,3.7523451643818633
2024-12-23,0.625,-0.7725068036555018,-0.7725068036555018
2024-12-24,1.0,-0.3672961796521557,-0.3672961796521557
2024-12-26,1.25,-0.09715576364992498,-0.09715576364992498
2024-12-27,0.75,-0.6374365956543865,-0.6374365956543865
2024-12-30,0.5625,-0.8400419076560596,-0.8400419076560596
2024-12-31,1.5,0.17298465235230578,0.17298465235230578
2025-01-02,1.6875,0.37558996435397884,0.37558996435397884
2025-01-03,1.375,0.0379144443511904,0.0379144443511904
2025-01-06,1.1875,-0.16469086765048266,-0.16469086765048266
2025-01-07,1.5,0.17298465235230578,0.17298465235230578
2025-01-08,1.0625,-0.29976107565159804,-0.29976107565159804
2025-01-09,0.5,-0.9075770116566172,-0.9075770116566172
2025-01-10,2.0625,0.780800588357325,0.780800588357325
2025-01-13,0.875,-0.5023663876532711,-0.5023663876532711
2025-01-14,0.6875,-0.7049716996549442,-0.7049716996549442
2025-01-15,1.0,-0.3672961796521557,-0.3672961796521557
2025-01-16,2.375,1.1184761083601134,1.1184761083601134
2025-01-17,1.0625,-0.29976107565159804,-0.29976107565159804
2025-01-20,0.5,-0.9075770116566172,-0.9075770116566172
2025-01-21,1.0,-0.3672961796521557,-0.3672961796521557
2025-01-22,1.0625,-0.29976107565159804,-0.29976107565159804
2025-01-23,1.0,-0.3672961796521557,-0.3672961796521557
2025-01-24,1.0625,-0.29976107565159804,-0.29976107565159804
2025-01-27,0.8125,-0.5699014916538288,-0.5699014916538288
