Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1h, Symbol:ZN)",All Data ZScore,Current data (Latest 2 weeks) ZScore
2024-12-20,3.75,-0.3736078557772181,0.12641888767038464
2024-12-23,3.0,-0.6371927410285413,-0.4424661068463467
2024-12-26,1.75,-1.07650088311408,-1.3906077643742323
2024-12-27,4.5,-0.11002297052589494,0.6953038821871159
2024-12-30,3.5,-0.4614694841943259,-0.06320944383519249
2024-12-31,2.5,-0.8129159978627568,-0.8217227698575009
2025-01-02,6.5,0.5928700568109669,2.2123305342317328
2025-01-03,2.75,-0.725054369445649,-0.6320944383519238
2025-01-06,5.75,0.3292851715596437,1.6434455397150016
2025-01-07,3.75,-0.3736078557772181,0.12641888767038464
2025-01-08,4.0,-0.2857462273601104,0.31604721917596174
2025-01-09,2.75,-0.725054369445649,-0.6320944383519238
2025-01-10,2.5,-0.8129159978627568,-0.8217227698575009
2025-01-13,2.25,-0.9007776262798646,-1.011351101363078
2025-01-14,4.5,-0.11002297052589494,0.6953038821871159
