Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,0.25,-0.46762999227251667,-0.46762999227251667
2024-10-16,0.4374992000000475,-0.3018106638388606,-0.3018106638388606
2024-10-17,0.4375007999999525,-0.30180924884130467,-0.30180924884130467
2024-10-18,0.4374992000000475,-0.3018106638388606,-0.3018106638388606
2024-10-21,0.375,-0.35708330165089397,-0.35708330165089397
2024-10-22,0.375,-0.35708330165089397,-0.35708330165089397
2024-10-23,0.4374992000000475,-0.3018106638388606,-0.3018106638388606
2024-10-24,0.5625007999999525,-0.19126255821968202,-0.19126255821968202
2024-10-28,0.5,-0.24653661102927132,-0.24653661102927132
2024-10-29,0.9374992000000475,0.14037609864762998,0.14037609864762998
2024-11-04,0.5625007999999525,-0.19126255821968202,-0.19126255821968202
2024-11-05,0.8124992000000475,0.029829408026007333,0.029829408026007333
2024-11-06,0.625,-0.13598992040764868,-0.13598992040764868
2024-11-07,0.9374992000000475,0.14037609864762998,0.14037609864762998
2024-11-11,0.5625007999999525,-0.19126255821968202,-0.19126255821968202
2024-11-15,0.4374992000000475,-0.3018106638388606,-0.3018106638388606
2024-11-18,0.375,-0.35708330165089397,-0.35708330165089397
2024-11-19,0.5,-0.24653661102927132,-0.24653661102927132
2024-11-20,0.5,-0.24653661102927132,-0.24653661102927132
2024-11-21,0.4374992000000475,-0.3018106638388606,-0.3018106638388606
2024-11-25,0.4374992000000475,-0.3018106638388606,-0.3018106638388606
2024-11-26,0.5,-0.24653661102927132,-0.24653661102927132
2024-12-02,3.5625,2.461857309200484,2.461857309200484
2024-12-03,0.5,-0.24653661102927132,-0.24653661102927132
2024-12-04,0.375,-0.35708330165089397,-0.35708330165089397
2024-12-05,2.5625,1.5774837842275025,1.5774837842275025
2024-12-10,1.1875,0.36147018738965325,0.36147018738965325
2024-12-13,0.375,-0.35708330165089397,-0.35708330165089397
2024-12-16,0.5,-0.24653661102927132,-0.24653661102927132
2024-12-17,0.375,-0.35708330165089397,-0.35708330165089397
2024-12-18,1.0,0.19565015145721928,0.19565015145721928
2024-12-23,0.375,-0.35708330165089397,-0.35708330165089397
2024-12-26,0.25,-0.46762999227251667,-0.46762999227251667
2024-12-27,0.375,-0.35708330165089397,-0.35708330165089397
2024-12-30,0.5,-0.24653661102927132,-0.24653661102927132
2024-12-31,0.25,-0.46762999227251667,-0.46762999227251667
2025-01-02,0.3125,-0.4123566469617053,-0.4123566469617053
2025-01-03,0.25,-0.46762999227251667,-0.46762999227251667
2025-01-06,0.5625,-0.19126326571846,-0.19126326571846
2025-01-07,0.375,-0.35708330165089397,-0.35708330165089397
2025-01-08,0.625,-0.13598992040764868,-0.13598992040764868
2025-01-16,0.3125,-0.4123566469617053,-0.4123566469617053
2025-01-17,0.625,-0.13598992040764868,-0.13598992040764868
2025-01-21,0.5625,-0.19126326571846,-0.19126326571846
2025-01-22,0.4375,-0.3018099563400827,-0.3018099563400827
2025-01-23,0.3125,-0.4123566469617053,-0.4123566469617053
2025-01-27,0.4375,-0.3018099563400827,-0.3018099563400827
2025-01-28,0.5,-0.24653661102927132,-0.24653661102927132
2025-01-29,0.6875,-0.08071657509683734,-0.08071657509683734
2025-02-03,0.5625,-0.19126326571846,-0.19126326571846
2025-02-04,0.375,-0.35708330165089397,-0.35708330165089397
2025-02-05,0.375,-0.35708330165089397,-0.35708330165089397
2025-02-06,0.25,-0.46762999227251667,-0.46762999227251667
2025-02-11,0.1875,-0.522903337583328,-0.522903337583328
2025-02-14,0.25,-0.46762999227251667,-0.46762999227251667
2025-02-18,0.4375,-0.3018099563400827,-0.3018099563400827
2025-02-19,0.3125,-0.4123566469617053,-0.4123566469617053
2025-02-20,0.3125,-0.4123566469617053,-0.4123566469617053
2025-02-24,0.375,-0.35708330165089397,-0.35708330165089397
2025-02-25,0.3125,-0.4123566469617053,-0.4123566469617053
2025-02-26,4.4375,3.2356841435518424,3.2356841435518424
2025-03-03,5.25,3.95423763259239,3.95423763259239
2025-03-04,6.0,4.617517776322126,4.617517776322126
