Volatility of Returns Statistic,"(Session:US Mid 10-15 ET, Interval:1h, Symbol:ZN)"
count,460.0
mean,5.175543478260869
std,2.8558838717177086
min,1.0
10%,2.5
25%,3.25
50%,4.5
75%,6.3125
95%,10.5
99%,13.307499999999976
max,30.0
skewness,2.3683839906680544
kurtosis,12.982808802180113
