Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,6.5,-0.4647590471667892,-0.4647590471667892
2024-10-16,8.0,-0.2046444441809601,-0.2046444441809601
2024-10-17,4.5,-0.8115785178145614,-0.8115785178145614
2024-10-18,7.5,-0.29134931184290314,-0.29134931184290314
2024-10-21,12.5,0.5756993647765272,0.5756993647765272
2024-10-22,6.0,-0.5514639148287322,-0.5514639148287322
2024-10-23,4.5,-0.8115785178145614,-0.8115785178145614
2024-10-24,9.0,-0.031234708857074033,-0.031234708857074033
2024-10-28,9.0,-0.031234708857074033,-0.031234708857074033
2024-10-29,12.0,0.48899449711458415,0.48899449711458415
2024-11-04,9.5,0.055470158804868996,0.055470158804868996
2024-11-05,7.5,-0.29134931184290314,-0.29134931184290314
2024-11-06,26.5,3.0034356593109326,3.0034356593109326
2024-11-07,14.5,0.9225188354242994,0.9225188354242994
2024-11-11,6.5,-0.4647590471667892,-0.4647590471667892
2024-11-15,9.5,0.055470158804868996,0.055470158804868996
2024-11-18,10.0,0.14217502646681202,0.14217502646681202
2024-11-19,14.0,0.8358139677623563,0.8358139677623563
2024-11-20,7.0,-0.37805417950484616,-0.37805417950484616
2024-11-21,8.0,-0.2046444441809601,-0.2046444441809601
2024-11-25,7.5,-0.29134931184290314,-0.29134931184290314
2024-11-26,5.5,-0.6381687824906752,-0.6381687824906752
2024-11-28,6.0,-0.5514639148287322,-0.5514639148287322
2024-11-29,9.5,0.055470158804868996,0.055470158804868996
2024-12-02,10.0,0.14217502646681202,0.14217502646681202
2024-12-03,8.0,-0.2046444441809601,-0.2046444441809601
2024-12-04,7.0,-0.37805417950484616,-0.37805417950484616
2024-12-05,9.0,-0.031234708857074033,-0.031234708857074033
2024-12-10,11.5,0.40228962945264113,0.40228962945264113
2024-12-13,6.5,-0.4647590471667892,-0.4647590471667892
2024-12-16,4.0,-0.8982833854765043,-0.8982833854765043
2024-12-17,7.5,-0.29134931184290314,-0.29134931184290314
2024-12-18,7.0,-0.37805417950484616,-0.37805417950484616
2024-12-23,5.5,-0.6381687824906752,-0.6381687824906752
2024-12-26,4.0,-0.8982833854765043,-0.8982833854765043
2024-12-27,12.0,0.48899449711458415,0.48899449711458415
2024-12-30,5.5,-0.6381687824906752,-0.6381687824906752
2024-12-31,5.5,-0.6381687824906752,-0.6381687824906752
2025-01-02,12.5,0.5756993647765272,0.5756993647765272
2025-01-03,5.5,-0.6381687824906752,-0.6381687824906752
2025-01-06,10.0,0.14217502646681202,0.14217502646681202
2025-01-07,9.5,0.055470158804868996,0.055470158804868996
2025-01-08,8.5,-0.11793957651901707,-0.11793957651901707
2025-01-09,6.0,-0.5514639148287322,-0.5514639148287322
2025-01-16,6.0,-0.5514639148287322,-0.5514639148287322
2025-01-17,7.0,-0.37805417950484616,-0.37805417950484616
2025-01-20,6.0,-0.5514639148287322,-0.5514639148287322
2025-01-21,10.5,0.22887989412875506,0.22887989412875506
2025-01-22,7.5,-0.29134931184290314,-0.29134931184290314
2025-01-23,10.0,0.14217502646681202,0.14217502646681202
2025-01-27,18.0,1.5294529090579005,1.5294529090579005
2025-01-28,6.5,-0.4647590471667892,-0.4647590471667892
2025-01-29,5.0,-0.7248736501526183,-0.7248736501526183
2025-02-03,10.0,0.14217502646681202,0.14217502646681202
2025-02-04,9.5,0.055470158804868996,0.055470158804868996
2025-02-05,9.0,-0.031234708857074033,-0.031234708857074033
2025-02-06,6.004028320312273,-0.5507653648695812,-0.5507653648695812
2025-02-11,8.5,-0.11793957651901707,-0.11793957651901707
2025-02-14,5.5,-0.6381687824906752,-0.6381687824906752
2025-02-17,4.0,-0.8982833854765043,-0.8982833854765043
2025-02-18,3.5,-0.9849882531384474,-0.9849882531384474
2025-02-19,7.0,-0.37805417950484616,-0.37805417950484616
2025-02-20,6.0,-0.5514639148287322,-0.5514639148287322
2025-02-24,6.5,-0.4647590471667892,-0.4647590471667892
2025-02-25,11.0,0.3155847617906981,0.3155847617906981
2025-02-26,8.5,-0.11793957651901707,-0.11793957651901707
2025-03-03,11.5,0.40228962945264113,0.40228962945264113
2025-03-04,13.5,0.7491091001004132,0.7491091001004132
2025-03-05,12.5,0.5756993647765272,0.5756993647765272
2025-03-06,10.5,0.22887989412875506,0.22887989412875506
2025-03-11,10.0,0.14217502646681202,0.14217502646681202
2025-03-17,8.0,-0.2046444441809601,-0.2046444441809601
2025-03-18,9.0,-0.031234708857074033,-0.031234708857074033
2025-03-19,6.5,-0.4647590471667892,-0.4647590471667892
2025-03-20,12.0,0.48899449711458415,0.48899449711458415
2025-03-21,8.5,-0.11793957651901707,-0.11793957651901707
2025-03-24,5.5,-0.6381687824906752,-0.6381687824906752
2025-03-25,9.0,-0.031234708857074033,-0.031234708857074033
2025-03-26,6.004028320312273,-0.5507653648695812,-0.5507653648695812
2025-03-31,6.5,-0.4647590471667892,-0.4647590471667892
2025-04-01,10.0,0.14217502646681202,0.14217502646681202
2025-04-02,10.5,0.22887989412875506,0.22887989412875506
2025-04-03,12.0,0.48899449711458415,0.48899449711458415
2025-04-07,29.0,3.4369599976206477,3.4369599976206477
2025-04-08,16.0,1.1826334384101285,1.1826334384101285
2025-04-09,50.5,7.1652693070841975,7.1652693070841975
2025-04-15,15.5,1.0959285707481854,1.0959285707481854
2025-04-16,10.004028320312273,0.14287357642596307,0.14287357642596307
2025-04-17,6.5,-0.4647590471667892,-0.4647590471667892
2025-04-21,9.0,-0.031234708857074033,-0.031234708857074033
