,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,5.0,5.0,6.0,4.0,5.0,7.0
mean,1.25,2.45,1.6666666666666667,0.875,1.55,3.3214285714285716
std,0.9519716382329886,2.630351687512527,1.1254628677422756,0.75,1.0216408370851275,3.2394517466768384
min,0.25,0.25,0.25,0.25,0.25,0.0
5%,0.35,0.45,0.375,0.25,0.45,0.5250000000000001
25%,0.75,1.25,0.8125,0.25,1.25,2.0
50%,1.0,1.75,1.75,0.75,1.25,3.0
68%,1.36,1.9300000000000002,2.6,1.27,1.79,3.0
90%,2.25,5.0,2.75,1.6,2.6,5.900000000000002
95%,2.5,5.999999999999999,2.75,1.6749999999999998,2.8,8.074999999999996
99%,2.7,6.8,2.75,1.7349999999999999,2.96,9.814999999999996
99.7%,2.735,6.9399999999999995,2.75,1.7455,2.988,10.119500000000002
max,2.75,7.0,2.75,1.75,3.0,10.25
