Volatility of Returns Statistic,"(Session:US Close 15-17 ET, Interval:15m, Symbol:ZN)"
count,148.0
mean,2.290607349292652
std,2.0362482114031337
min,0.5
10%,1.0
25%,1.25
50%,1.75
75%,2.5
95%,4.662500000000001
99%,11.765
max,14.75
skewness,3.645757153818435
kurtosis,15.957371973472009
