Date,"Volatility of Returns (Session:London 0-7 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-04,5.0,-0.66002513042207,-0.66002513042207
2024-11-05,8.0,0.4387450288932837,0.4387450288932837
2024-11-06,6.25,-0.20220423070733928,-0.20220423070733928
2024-11-07,12.25,1.995336087923368,1.995336087923368
2024-11-11,5.75,-0.38533259059323155,-0.38533259059323155
2024-11-15,10.25,1.2628226483797989,1.2628226483797989
2024-11-18,5.75,-0.38533259059323155,-0.38533259059323155
2024-11-19,5.5,-0.4768967705361777,-0.4768967705361777
2024-11-20,5.5,-0.4768967705361777,-0.4768967705361777
2024-11-21,5.75,-0.38533259059323155,-0.38533259059323155
2024-11-25,9.75,1.0796942884939067,1.0796942884939067
2024-11-26,5.5,-0.4768967705361777,-0.4768967705361777
2024-11-29,5.25,-0.5684609504791238,-0.5684609504791238
2024-12-02,11.25,1.6290793681515834,1.6290793681515834
2024-12-03,9.0,0.8050017486650682,0.8050017486650682
2024-12-04,12.0,1.9037719079804218,1.9037719079804218
2024-12-05,6.0,-0.2937684106502854,-0.2937684106502854
2024-12-10,6.5,-0.11064005076439314,-0.11064005076439314
2024-12-13,6.0,-0.2937684106502854,-0.2937684106502854
2024-12-16,5.5,-0.4768967705361777,-0.4768967705361777
2024-12-17,7.25,0.16405248906444528,0.16405248906444528
2024-12-18,5.5,-0.4768967705361777,-0.4768967705361777
2024-12-23,4.5,-0.8431534903079623,-0.8431534903079623
2024-12-24,2.0,-1.7587952897374237,-1.7587952897374237
2024-12-26,3.5,-1.2094102100797468,-1.2094102100797468
2024-12-27,4.75,-0.7515893103650161,-0.7515893103650161
2024-12-30,7.5,0.2556166690073914,0.2556166690073914
2024-12-31,6.0,-0.2937684106502854,-0.2937684106502854
2025-01-02,8.0,0.4387450288932837,0.4387450288932837
2025-01-03,5.0,-0.66002513042207,-0.66002513042207
2025-01-06,7.5,0.2556166690073914,0.2556166690073914
2025-01-07,8.0,0.4387450288932837,0.4387450288932837
2025-01-08,6.25,-0.20220423070733928,-0.20220423070733928
2025-01-09,4.0,-1.0262818501938544,-1.0262818501938544
2025-01-10,12.5,2.086900267866314,2.086900267866314
2025-01-13,4.75,-0.7515893103650161,-0.7515893103650161
2025-01-14,5.25,-0.5684609504791238,-0.5684609504791238
2025-01-15,15.75,3.277234607124614,3.277234607124614
2025-01-16,10.75,1.4459510082656912,1.4459510082656912
2025-01-17,6.5,-0.11064005076439314,-0.11064005076439314
2025-01-20,8.0,0.4387450288932837,0.4387450288932837
2025-01-21,4.0,-1.0262818501938544,-1.0262818501938544
2025-01-22,5.5,-0.4768967705361777,-0.4768967705361777
2025-01-23,4.75,-0.7515893103650161,-0.7515893103650161
2025-01-24,6.75,-0.019075870821447002,-0.019075870821447002
2025-01-27,7.75,0.3471808489503375,0.3471808489503375
2025-01-28,4.25,-0.9347176702509084,-0.9347176702509084
2025-01-29,3.5,-1.2094102100797468,-1.2094102100797468
