,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,362.0,367.0,367.0,360.0,342.0,451.0
mean,4.971038649753972,6.830381471389646,6.0769754768392374,2.5618445502387135,3.559941520467836,9.799924592485448
std,2.9203571921633196,3.914647338970423,3.2907337791756874,2.0349675200022115,2.4312519244874196,5.6363673948976345
min,1.5,1.25,1.0,0.5,1.25,1.25
5%,2.25,2.75,2.5,1.0,1.5,2.5
25%,3.25,4.25,3.75,1.5,2.25,6.0
50%,4.25,5.75,5.5,2.0,3.0,9.0
68%,5.0,7.25,6.75,2.280000000000001,3.5,11.0
90%,8.25,12.0,10.25,4.75,5.9750000000000085,16.75
95%,10.0,15.599999999999994,12.674999999999997,8.0,8.987499999999997,20.75
99%,16.62749999999997,20.25,16.844999999999956,10.602500000000006,12.544999999999987,27.625
99.7%,21.646249999999966,21.901999999999987,19.450999999999993,11.23075,14.97124999999997,31.25
max,26.75,25.5,24.75,11.5,23.25,43.25
