Volatility of Returns Statistic,"(Session:US Open 7-10 ET, Interval:15m, Symbol:ZN)"
count,15.0
mean,3.1333333333333333
std,0.7954483611386066
min,2.0
10%,2.35
25%,2.5
50%,3.0
75%,3.75
95%,4.324999999999999
99%,4.465
max,4.5
skewness,0.49368644909720866
kurtosis,-1.0337958897034407
