Volatility of Returns Statistic,"(Session:US Open 7-10 ET, Interval:1m, Symbol:ZN)"
count,15.0
mean,5.1
std,3.497192751744911
min,1.25
10%,2.45
25%,2.875
50%,4.25
75%,5.5
95%,12.799999999999999
99%,13.36
max,13.5
skewness,1.6805511095930388
kurtosis,2.376583701704015
