Volatility of Returns Statistic,"(Session:All day, Interval:15m, Symbol:ZN)"
count,15.0
mean,7.95
std,3.2420231778496413
min,3.5
10%,5.0
25%,6.0
50%,7.25
75%,8.25
95%,13.649999999999997
99%,15.329999999999998
max,15.75
skewness,1.1963115496265186
kurtosis,1.2956752275833159
