Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-11,2.125,-0.23916316772586277,-0.23916316772586277
2024-10-15,2.125,-0.23916316772586277,-0.23916316772586277
2024-10-16,2.375,-0.002284353796438539,-0.002284353796438539
2024-10-17,1.125,-1.1866784234435597,-1.1866784234435597
2024-10-18,1.625,-0.7129207955847112,-0.7129207955847112
2024-10-21,4.0,1.537427936744819,1.537427936744819
2024-10-22,1.25,-1.0682390164788476,-1.0682390164788476
2024-10-23,1.25,-1.0682390164788476,-1.0682390164788476
2024-10-25,1.625,-0.7129207955847112,-0.7129207955847112
2024-10-28,2.875,0.4714732740624099,0.4714732740624099
2024-11-01,1.875,-0.476041981655287,-0.476041981655287
2024-11-04,2.5,0.11615505316827357,0.11615505316827357
2024-11-05,2.25,-0.12072376076115066,-0.12072376076115066
2024-11-06,5.625,3.077140227286076,3.077140227286076
2024-11-08,3.375,0.9452309019212584,0.9452309019212584
2024-11-14,2.625,0.23459446013298568,0.23459446013298568
2024-11-15,3.375,0.9452309019212584,0.9452309019212584
2024-11-18,2.625,0.23459446013298568,0.23459446013298568
2024-11-19,5.0,2.4849431924625156,2.4849431924625156
2024-11-20,2.25,-0.12072376076115066,-0.12072376076115066
2024-11-22,2.625,0.23459446013298568,0.23459446013298568
2024-11-25,2.625,0.23459446013298568,0.23459446013298568
2024-11-27,2.5,0.11615505316827357,0.11615505316827357
2024-11-28,1.25,-1.0682390164788476,-1.0682390164788476
2024-11-29,1.5,-0.8313602025494233,-0.8313602025494233
2024-12-02,4.875,2.3665037854978035,2.3665037854978035
2024-12-03,4.5,2.011185564603667,2.011185564603667
2024-12-04,2.125,-0.23916316772586277,-0.23916316772586277
2024-12-06,1.875,-0.476041981655287,-0.476041981655287
2024-12-09,3.125,0.7083520879918341,0.7083520879918341
2024-12-12,1.75,-0.5944813886199991,-0.5944813886199991
2024-12-13,2.375,-0.002284353796438539,-0.002284353796438539
2024-12-16,1.375,-0.9497996095141354,-0.9497996095141354
2024-12-17,2.875,0.4714732740624099,0.4714732740624099
2024-12-20,2.5040283203122726,0.11997194811906936,0.11997194811906936
2024-12-23,1.625,-0.7129207955847112,-0.7129207955847112
2024-12-26,0.875,-1.423557237372984,-1.423557237372984
2024-12-27,2.25,-0.12072376076115066,-0.12072376076115066
2024-12-30,2.25,-0.12072376076115066,-0.12072376076115066
2024-12-31,1.5,-0.8313602025494233,-0.8313602025494233
2025-01-02,3.875,1.4189885297801068,1.4189885297801068
2025-01-03,1.5,-0.8313602025494233,-0.8313602025494233
2025-01-06,3.5,1.0636703088859705,1.0636703088859705
2025-01-07,2.0059814453127274,-0.3519350640055246,-0.3519350640055246
2025-01-08,2.5,0.11615505316827357,0.11615505316827357
2025-01-09,2.125,-0.23916316772586277,-0.23916316772586277
2025-01-10,1.75,-0.5944813886199991,-0.5944813886199991
2025-01-13,1.5,-0.8313602025494233,-0.8313602025494233
2025-01-14,2.625,0.23459446013298568,0.23459446013298568
2025-01-15,1.5,-0.8313602025494233,-0.8313602025494233
2025-01-16,1.625,-0.7129207955847112,-0.7129207955847112
2025-01-17,1.625,-0.7129207955847112,-0.7129207955847112
2025-01-20,1.625,-0.7129207955847112,-0.7129207955847112
2025-01-21,4.25,1.7743067506742431,1.7743067506742431
2025-01-22,2.0,-0.3576025746905749,-0.3576025746905749
2025-01-23,0.875,-1.423557237372984,-1.423557237372984
