,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,32.0,33.0,38.0,29.0,31.0,43.0
mean,2.71875,1.4318181818181819,0.9210526315789473,0.603448275862069,1.4919354838709677,3.104651162790698
std,2.2787146206975204,1.142695427884916,0.7308484128466416,0.6214802367968462,1.1875813497885488,2.5554753064903504
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.0,0.0,0.25,0.25,0.25,0.25
25%,0.6875,0.5,0.5,0.25,0.75,1.125
50%,2.25,1.0,0.75,0.25,1.0,2.25
68%,4.040000000000001,2.1900000000000004,1.0,0.5,1.8500000000000005,3.75
90%,5.4750000000000005,3.0,1.825000000000001,1.2999999999999998,3.0,6.800000000000004
95%,5.975,3.5,2.2874999999999996,1.6499999999999995,3.75,7.699999999999999
99%,7.802500000000003,3.67,2.972500000000002,2.6499999999999986,4.425,9.684999999999999
99.7%,8.29075,3.726,3.166750000000002,2.8950000000000005,4.4775,9.905500000000002
max,8.5,3.75,3.25,3.0,4.5,10.0
