"(Vol Return Stats:- Interval:1m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,103.0,105.0,105.0,99.0,126.0,138.0
mean,4.402912621359223,4.54047619047619,5.464285714285714,2.414141414141414,3.5972222222222223,8.340579710144928
std,2.2622848206928277,2.3439580188517013,2.949785799636351,1.6782528634492273,3.2123157102349427,5.361302103540215
min,1.75,0.75,1.0,0.75,1.0,1.5
5%,2.0,1.8,2.0,1.225,1.5,2.25
25%,3.125,3.25,3.5,1.5,2.25,5.0
50%,4.0,4.0,4.75,2.0,2.75,7.5
68%,4.75,4.75,6.25,2.41,3.25,9.5
90%,6.0,7.3500000000000085,8.75,3.75,5.75,13.825
95%,6.75,9.899999999999999,11.699999999999996,4.75,9.25,17.362500000000004
99%,15.415000000000017,13.149999999999984,15.449999999999992,10.029999999999994,20.5625,29.26249999999996
99.7%,15.847000000000001,13.594000000000001,15.672,11.059000000000005,22.96875,35.88674999999999
max,16.0,13.75,15.75,11.5,23.25,38.25
