Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-09-30,4.25,0.062493581223382326,0.062493581223382326
2024-10-01,5.75,0.9337276253375973,0.9337276253375973
2024-10-02,4.25,0.062493581223382326,0.062493581223382326
2024-10-03,2.75,-0.8087404628908327,-0.8087404628908327
2024-10-07,6.0,1.0789332993566332,1.0789332993566332
2024-10-08,3.75,-0.22791776681468934,-0.22791776681468934
2024-10-09,2.0,-1.2443574849479402,-1.2443574849479402
2024-10-14,3.5,-0.3731234408337252,-0.3731234408337252
2024-10-16,3.5,-0.3731234408337252,-0.3731234408337252
2024-10-17,1.75,-1.389563158966976,-1.389563158966976
2024-10-18,2.75,-0.8087404628908327,-0.8087404628908327
2024-10-21,6.5,1.3693446473947049,1.3693446473947049
2024-10-22,2.0,-1.2443574849479402,-1.2443574849479402
2024-10-23,2.0,-1.2443574849479402,-1.2443574849479402
2024-10-24,4.25,0.062493581223382326,0.062493581223382326
2024-10-28,4.25,0.062493581223382326,0.062493581223382326
2024-10-29,5.25,0.6433162772995257,0.6433162772995257
2024-11-04,4.25,0.062493581223382326,0.062493581223382326
2024-11-05,3.5,-0.3731234408337252,-0.3731234408337252
2024-11-06,10.25,3.5474297576802423,3.5474297576802423
2024-11-07,5.25,0.6433162772995257,0.6433162772995257
2024-11-11,3.5,-0.3731234408337252,-0.3731234408337252
2024-11-15,5.25,0.6433162772995257,0.6433162772995257
2024-11-18,4.75,0.352904929261454,0.352904929261454
2024-11-19,7.75,2.095373017489884,2.095373017489884
2024-11-20,3.5,-0.3731234408337252,-0.3731234408337252
2024-11-21,4.0,-0.0827120927956535,-0.0827120927956535
2024-11-25,4.25,0.062493581223382326,0.062493581223382326
2024-11-26,2.5,-0.9539461369098685,-0.9539461369098685
2024-11-28,4.75,0.352904929261454,0.352904929261454
2024-12-02,5.5,0.7885219513185615,0.7885219513185615
2024-12-03,4.75,0.352904929261454,0.352904929261454
2024-12-04,3.5,-0.3731234408337252,-0.3731234408337252
2024-12-05,5.25,0.6433162772995257,0.6433162772995257
2024-12-10,6.75,1.5145503214137406,1.5145503214137406
2024-12-13,3.75,-0.22791776681468934,-0.22791776681468934
2024-12-16,2.25,-1.0991518109289042,-1.0991518109289042
2024-12-17,4.75,0.352904929261454,0.352904929261454
2024-12-18,3.25,-0.518329114852761,-0.518329114852761
2024-12-23,3.0,-0.6635347888717968,-0.6635347888717968
2024-12-26,1.75,-1.389563158966976,-1.389563158966976
2024-12-27,4.5,0.20769925524241817,0.20769925524241817
2024-12-30,3.5,-0.3731234408337252,-0.3731234408337252
2024-12-31,2.5,-0.9539461369098685,-0.9539461369098685
2025-01-02,6.5,1.3693446473947049,1.3693446473947049
2025-01-03,2.75,-0.8087404628908327,-0.8087404628908327
2025-01-06,5.75,0.9337276253375973,0.9337276253375973
2025-01-07,3.75,-0.22791776681468934,-0.22791776681468934
2025-01-08,4.0,-0.0827120927956535,-0.0827120927956535
2025-01-09,2.75,-0.8087404628908327,-0.8087404628908327
2025-01-16,2.75,-0.8087404628908327,-0.8087404628908327
2025-01-17,3.0,-0.6635347888717968,-0.6635347888717968
2025-01-20,3.0,-0.6635347888717968,-0.6635347888717968
2025-01-21,6.75,1.5145503214137406,1.5145503214137406
2025-01-22,3.75,-0.22791776681468934,-0.22791776681468934
2025-01-23,4.5,0.20769925524241817,0.20769925524241817
2025-01-27,11.25,4.128252453756385,4.128252453756385
2025-01-28,3.75,-0.22791776681468934,-0.22791776681468934
2025-01-29,2.75,-0.8087404628908327,-0.8087404628908327
2025-02-03,5.25,0.6433162772995257,0.6433162772995257
2025-02-04,4.5,0.20769925524241817,0.20769925524241817
2025-02-05,4.5,0.20769925524241817,0.20769925524241817
2025-02-06,2.75,-0.8087404628908327,-0.8087404628908327
2025-02-11,3.5,-0.3731234408337252,-0.3731234408337252
2025-02-14,2.75,-0.8087404628908327,-0.8087404628908327
2025-02-17,2.0,-1.2443574849479402,-1.2443574849479402
2025-02-18,1.75,-1.389563158966976,-1.389563158966976
2025-02-19,2.5,-0.9539461369098685,-0.9539461369098685
2025-02-20,2.75,-0.8087404628908327,-0.8087404628908327
2025-02-24,2.5,-0.9539461369098685,-0.9539461369098685
2025-02-25,5.75,0.9337276253375973,0.9337276253375973
2025-02-26,3.75,-0.22791776681468934,-0.22791776681468934
2025-03-03,4.25,0.062493581223382326,0.062493581223382326
2025-03-04,5.75,0.9337276253375973,0.9337276253375973
2025-03-05,5.0,0.49811060328048984,0.49811060328048984
2025-03-06,5.25,0.6433162772995257,0.6433162772995257
2025-03-11,5.75,0.9337276253375973,0.9337276253375973
2025-03-17,3.25,-0.518329114852761,-0.518329114852761
2025-03-18,3.75,-0.22791776681468934,-0.22791776681468934
