,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,52.0,54.0,54.0,49.0,52.0,69.0
mean,4.168269230769231,5.388888888888889,5.185185185185185,2.2244897959183674,3.1538461538461537,7.6521739130434785
std,1.6199742447164074,2.963881103379242,2.113626714816905,1.062187328943773,3.030544605069896,4.067043249442877
min,1.75,0.75,1.75,1.0,1.25,1.5
5%,2.0,2.575,2.575,1.25,1.3875000000000002,1.85
25%,3.0,3.3125,3.75,1.5,2.0,4.75
50%,3.75,4.5,4.875,2.0,2.5,7.25
68%,4.42,5.76,5.75,2.25,3.25,8.870000000000001
90%,5.975,9.200000000000003,7.850000000000001,3.5500000000000007,4.25,11.600000000000001
95%,6.837499999999997,12.174999999999997,9.36249999999999,4.549999999999997,4.724999999999998,13.599999999999994
99%,8.975000000000005,14.469999999999999,11.1175,5.25,14.452500000000034,20.869999999999976
99.7%,9.867500000000003,14.841000000000001,11.21025,5.25,20.610750000000024,22.536000000000023
max,10.25,15.0,11.25,5.25,23.25,23.25
