,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,37.0,37.0,47.0,37.0,37.0,49.0
mean,6.9391891891891895,3.9121621621621623,2.776595744680851,1.8986486486486487,3.5067567567567566,7.770408163265306
std,2.4779621761735076,1.4376101602913678,1.5761762710346845,1.9422740997806356,1.9378238855508547,3.765881901573473
min,2.0,1.75,0.75,0.75,0.0,2.0
5%,3.9,1.75,1.0750000000000002,0.75,1.3,3.25
25%,5.25,2.75,1.75,1.0,2.5,5.0
50%,6.25,4.0,2.25,1.25,3.0,7.25
68%,7.5,4.5,3.25,1.75,3.62,8.41
90%,10.649999999999999,6.1,4.35,3.75,5.699999999999999,12.150000000000002
95%,12.0,6.549999999999999,5.099999999999998,3.799999999999999,6.3499999999999925,13.349999999999994
99%,12.32,6.91,8.044999999999996,9.120000000000005,9.190000000000001,19.259999999999973
99.7%,12.446000000000002,6.973000000000001,9.413500000000008,11.136000000000024,9.757000000000007,21.528000000000013
max,12.5,7.0,10.0,12.0,10.0,22.5
