Date,"Volatility of Returns (Session:All day, Interval:1d, Symbol:FGBL)",ZScore wrt All Days,ZScore wrt Given Days
2008-12-29,73.0000000000004,-0.1378736567810288,-0.1378736567810288
2008-12-30,73.0000000000004,-0.1378736567810288,-0.1378736567810288
2009-01-02,146.0000000000008,1.5348442226720012,1.5348442226720012
2009-01-05,87.99999999999955,0.20583549653121622,0.20583549653121622
2009-01-06,164.00000000000006,1.9472952066467017,1.9472952066467017
2009-01-07,100.0,0.4808028191810383,0.4808028191810383
2009-01-08,135.99999999999994,1.3057047871304719,1.3057047871304719
2009-01-09,146.0000000000008,1.5348442226720012,1.5348442226720012
2009-01-12,79.99999999999972,0.02252394809801236,0.02252394809801236
2009-01-13,43.99999999999977,-0.8023780198514213,-0.8023780198514213
2009-01-14,135.00000000000085,1.2827908435763418,1.2827908435763418
2009-01-15,84.99999999999943,0.1370936658687607,0.1370936658687607
2009-01-16,76.00000000000051,-0.06913182611857328,-0.06913182611857328
2009-01-19,121.99999999999989,0.9849095773723571,0.9849095773723571
2009-01-20,105.00000000000114,0.5953725369518192,0.5953725369518192
2009-01-21,68.99999999999977,-0.22952943099764703,-0.22952943099764703
2009-01-22,125.0,1.0536514080348125,1.0536514080348125
2009-01-23,162.00000000000045,1.9014673195384089,1.9014673195384089
2009-01-26,122.99999999999898,1.0078235209264872,1.0078235209264872
2009-01-27,126.9999999999996,1.0994792951431054,1.0994792951431054
2009-01-28,84.99999999999943,0.1370936658687607,0.1370936658687607
2009-01-29,101.00000000000051,0.503716762735201,0.503716762735201
2009-01-30,81.00000000000023,0.04543789165217506,0.04543789165217506
2009-02-02,89.99999999999915,0.2516633836395091,0.2516633836395091
2009-02-03,100.0,0.4808028191810383,0.4808028191810383
2009-02-04,62.000000000000455,-0.3899270358766882,-0.3899270358766882
2009-02-05,104.00000000000063,0.5724585933976565,0.5724585933976565
2009-02-06,96.99999999999989,0.4120609885185828,0.4120609885185828
2009-02-09,67.00000000000017,-0.27535731810593983,-0.27535731810593983
2009-02-10,103.00000000000011,0.5495446498434938,0.5495446498434938
2009-02-11,137.00000000000045,1.3286187306846347,1.3286187306846347
2009-02-12,118.00000000000068,0.8932538031557714,0.8932538031557714
2009-02-13,57.99999999999983,-0.4815828100933064,-0.4815828100933064
2009-02-16,89.00000000000006,0.22874944008537892,0.22874944008537892
2009-02-17,78.9999999999992,-0.0003899954561503334,-0.0003899954561503334
2009-02-18,76.9999999999996,-0.04621788256444316,-0.04621788256444316
2009-02-19,107.99999999999983,0.6641143676142421,0.6641143676142421
2009-02-20,81.99999999999932,0.06835183520630518,0.06835183520630518
2009-02-23,82.99999999999983,0.09126577876046787,0.09126577876046787
2009-02-24,64.00000000000006,-0.34409914876839537,-0.34409914876839537
2009-02-25,73.0000000000004,-0.1378736567810288,-0.1378736567810288
2009-02-26,110.99999999999994,0.7328561982766977,0.7328561982766977
2009-02-27,104.99999999999972,0.5953725369517866,0.5953725369517866
2009-03-02,59.00000000000034,-0.45866886653914374,-0.45866886653914374
2009-03-03,48.0000000000004,-0.7107222456348031,-0.7107222456348031
2009-03-04,93.99999999999977,0.34331915785612727,0.34331915785612727
2009-03-05,162.99999999999955,1.924381263092539,1.924381263092539
2009-03-06,84.99999999999943,0.1370936658687607,0.1370936658687607
2009-03-09,62.999999999999545,-0.3670130923225581,-0.3670130923225581
2009-03-10,76.00000000000051,-0.06913182611857328,-0.06913182611857328
2009-03-11,95.00000000000028,0.36623310141029,0.36623310141029
2009-03-12,60.00000000000085,-0.43575492298498103,-0.43575492298498103
2009-03-13,100.0,0.4808028191810383,0.4808028191810383
2009-03-16,54.999999999999716,-0.5503246407557619,-0.5503246407557619
2009-03-17,93.99999999999977,0.34331915785612727,0.34331915785612727
2009-03-18,235.99999999999994,3.5970991425455696,3.5970991425455696
2009-03-19,101.00000000000051,0.503716762735201,0.503716762735201
2009-03-20,83.99999999999892,0.11417972231459801,0.11417972231459801
2009-03-23,68.99999999999977,-0.22952943099764703,-0.22952943099764703
2009-03-24,117.99999999999926,0.8932538031557389,0.8932538031557389
2009-03-25,71.0000000000008,-0.18370154388932164,-0.18370154388932164
2009-03-26,76.9999999999996,-0.04621788256444316,-0.04621788256444316
2009-03-27,78.00000000000011,-0.023303939010280463,-0.023303939010280463
2009-03-30,103.9999999999992,0.572458593397624,0.572458593397624
2009-03-31,62.999999999999545,-0.3670130923225581,-0.3670130923225581
2009-04-01,43.99999999999977,-0.8023780198514213,-0.8023780198514213
2009-04-02,175.0,2.1993485857423614,2.1993485857423614
2009-04-03,117.00000000000017,0.8703398596016088,0.8703398596016088
2009-04-06,62.999999999999545,-0.3670130923225581,-0.3670130923225581
2009-04-07,43.99999999999977,-0.8023780198514213,-0.8023780198514213
2009-04-08,78.9999999999992,-0.0003899954561503334,-0.0003899954561503334
2009-04-09,67.00000000000017,-0.27535731810593983,-0.27535731810593983
2009-04-14,45.000000000000284,-0.7794640762972587,-0.7794640762972587
2009-04-15,57.99999999999983,-0.4815828100933064,-0.4815828100933064
2009-04-16,57.99999999999983,-0.4815828100933064,-0.4815828100933064
2009-04-17,95.00000000000028,0.36623310141029,0.36623310141029
2009-04-20,132.00000000000074,1.2140490129138863,1.2140490129138863
2009-04-21,81.00000000000023,0.04543789165217506,0.04543789165217506
2009-04-22,104.99999999999972,0.5953725369517866,0.5953725369517866
2009-04-23,51.9999999999996,-0.6190664714182175,-0.6190664714182175
2009-04-24,60.99999999999994,-0.4128409794308509,-0.4128409794308509
