,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,5.0,5.0,6.0,4.0,5.0,7.0
mean,3.2,6.0,3.7916666666666665,2.4375,2.8,6.107142857142857
std,0.9905806378079475,3.795556612672244,2.033572390318738,0.7465197027987048,0.8909264840602731,3.4636720124058815
min,2.25,2.75,1.0,1.75,2.0,2.5
5%,2.3,3.0,1.5,1.825,2.05,3.0250000000000004
25%,2.5,4.0,3.125,2.125,2.25,4.5
50%,2.75,5.25,3.625,2.25,2.5,5.0
68%,3.6500000000000004,5.43,3.95,2.3,2.8600000000000003,5.87
90%,4.3,9.700000000000001,5.75,3.125,3.75,9.650000000000002
95%,4.4,11.099999999999998,6.5,3.3124999999999996,4.0,11.449999999999996
99%,4.48,12.219999999999999,7.1000000000000005,3.4624999999999995,4.2,12.889999999999997
99.7%,4.494,12.416,7.205000000000001,3.48875,4.235,13.142000000000001
max,4.5,12.5,7.25,3.5,4.25,13.25
