,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,364.0,369.0,369.0,362.0,344.0,454.0
mean,2.239697802197802,3.0752032520325203,2.010840108401084,0.578801107670064,1.3132267441860466,4.755524084956638
std,1.9426337995679492,2.6519581617605748,1.7991594048441397,0.7770434120240992,1.3547910001090726,4.545034126875242
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.0,0.25
25%,0.75,1.25,0.75,0.0,0.5,1.25
50%,2.0,2.5,1.5,0.25,1.0,3.75
68%,2.75,3.5,2.3100000000000023,0.75,1.5,5.75
90%,4.424999999999997,6.25,4.0,1.5,2.5,10.5
95%,5.25,8.149999999999991,5.0,2.0,3.5,13.087499999999991
99%,8.740000000000009,12.579999999999998,8.329999999999998,3.5,5.142499999999998,20.984999999999985
99.7%,11.75,14.646000000000015,11.490000000000038,4.208499999999987,7.2065000000000055,23.910250000000005
max,19.0,16.75,14.25,4.5,15.75,26.5
