Volatility of Returns Statistic,"(Session:All day, Interval:1d, Symbol:ZN)"
count,5877.0
mean,10.289946112925653
std,5.8054960122717585
min,0.0
10%,4.75
25%,6.5
50%,9.0
75%,12.748779296875
95%,21.25
99%,29.559999999999945
max,74.5
skewness,2.282683769546119
kurtosis,11.245862716811242
