,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,53.0,55.0,55.0,51.0,53.0,71.0
mean,4.132075471698113,5.363636363636363,5.2,2.215686274509804,3.1745283018867925,7.566901408450704
std,1.6258161956035475,2.9422757403048636,2.1242645786248002,1.0428561835688768,3.005037799607222,4.047917839210424
min,1.75,0.75,1.75,1.0,1.25,1.5
5%,2.0,2.6,2.6,1.25,1.4,1.875
25%,3.0,3.375,3.75,1.5,2.0,4.75
50%,3.75,4.5,5.0,2.0,2.5,7.25
68%,4.34,5.6800000000000015,5.75,2.25,3.25,8.75
90%,5.950000000000001,9.100000000000001,7.800000000000001,3.5,4.25,11.5
95%,6.799999999999999,12.149999999999999,9.274999999999995,4.5,4.699999999999999,13.625
99%,8.949999999999992,14.46,11.115,5.25,14.279999999999946,20.79999999999999
99.7%,9.860000000000003,14.838000000000001,11.2095,5.25,20.55900000000002,22.515000000000022
max,10.25,15.0,11.25,5.25,23.25,23.25
