,All day
count,5341.0
mean,10.285645605450465
std,5.769648133935357
min,0.0
5%,4.0
25%,6.5
50%,9.0
68%,11.25
90%,17.25
95%,21.0
99%,29.550000000000182
99.7%,39.48999999999978
max,74.5
