date,return,All Data ZScore,This Batch ZScore
2025-01-06,1.75,-1.5073805720125786,-0.46644744801244464
2025-01-06,3.5,-0.31549825925844677,0.34983558600933345
2025-01-06,3.0,-0.6560360629024844,0.11661186200311116
2025-01-07,2.25,-1.166842768368541,-0.23322372400622232
2025-01-07,8.0,2.749341973537893,2.4488491020653345
2025-01-07,1.5,-1.6776494738345975,-0.5830593100155558
2025-01-07,1.0,-2.018187277478635,-0.816283034021778
2025-01-07,2.25,-1.166842768368541,-0.23322372400622232
2025-01-07,3.25,-0.4857671610804656,0.23322372400622232
2025-01-08,0.25,-2.5289939829446917,-1.1661186200311116
2025-01-08,6.25,1.5574596607837605,1.632566068043556
2025-01-08,1.0,-2.018187277478635,-0.816283034021778
2025-01-08,1.0,-2.018187277478635,-0.816283034021778
2025-01-08,3.5,-0.31549825925844677,0.34983558600933345
