,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,33.0,33.0,42.0,33.0,33.0,44.0
mean,3.022727272727273,1.621212121212121,0.9821428571428571,0.9166666666666666,1.6363636363636365,3.164772727272727
std,1.9708457460048603,1.3052197075008043,0.8543162598107351,1.7066811115925162,1.19747603885688,2.824798398763619
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.5,0.15000000000000002,0.25,0.25,0.25,0.25
25%,1.25,0.75,0.5,0.25,0.75,1.0
50%,2.75,1.5,0.75,0.5,1.25,2.5
68%,4.570000000000001,2.1900000000000004,1.0,0.6900000000000004,2.1900000000000004,3.75
90%,5.5,3.2,1.75,1.75,3.2,6.700000000000003
95%,5.949999999999999,3.5999999999999996,2.474999999999998,2.2499999999999982,3.799999999999999,7.675000000000001
99%,6.25,5.109999999999999,3.8399999999999963,7.589999999999998,4.42,11.672500000000001
99.7%,6.25,5.558,4.1270000000000024,9.102,4.476,12.95175000000001
max,6.25,5.75,4.25,9.75,4.5,13.5
