,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,39.0,39.0,49.0,38.0,38.0,51.0
mean,3.1025641025641026,1.6217948717948718,0.9795918367346939,0.868421052631579,1.519736842105263,3.3627450980392157
std,2.621845189886332,1.2232288415993051,0.8367171943167573,1.6020856783037196,1.1630307259125983,3.1883827113013723
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.0,0.22500000000000003,0.25,0.25,0.25,0.25
25%,1.0,0.75,0.5,0.25,0.75,1.125
50%,2.5,1.5,0.75,0.375,1.0,2.25
68%,4.630000000000003,2.25,1.0,0.54,2.0,3.75
90%,5.850000000000001,3.0500000000000007,1.8000000000000007,1.75,3.075000000000001,7.25
95%,6.475000000000003,3.5250000000000004,2.3999999999999986,1.9374999999999982,3.612499999999999,9.625
99%,10.514999999999992,4.989999999999995,3.769999999999996,7.252500000000017,4.407500000000001,13.5
99.7%,11.379500000000009,5.522000000000006,4.106000000000002,9.00075000000002,4.472250000000001,13.5
max,11.75,5.75,4.25,9.75,4.5,13.5
