,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,54.0,56.0,56.0,51.0,54.0,72.0
mean,4.138888888888889,5.361607142857143,5.138392857142857,2.2254901960784315,3.162037037037037,7.538194444444445
std,1.6111834003879058,2.915444626490078,2.154761979503,1.0407388024389024,2.9779683967744317,4.02624744955388
min,1.75,0.75,1.75,1.0,1.25,1.5
5%,2.0,2.625,2.1875,1.25,1.4125,1.8875000000000002
25%,3.0,3.4375,3.75,1.5,2.0,4.75
50%,3.75,4.5,4.875,2.0,2.5,7.25
68%,4.5,5.600000000000001,5.75,2.25,3.25,8.75
90%,5.925000000000001,9.0,7.75,3.5,4.25,11.5
95%,6.762499999999996,12.125,9.1875,4.5,4.674999999999997,13.587500000000002
99%,8.924999999999997,14.450000000000003,11.1125,5.25,14.10749999999998,20.765000000000022
99.7%,9.852500000000003,14.835,11.20875,5.25,20.50725000000002,22.50450000000002
max,10.25,15.0,11.25,5.25,23.25,23.25
