Volatility of Returns Statistic,"(Session:All day, Interval:1d, Symbol:FGBL)"
count,3351.0
mean,79.01133989853776
std,43.65820970165164
min,0.0
10%,39.00000000000148
25%,50.99999999999909
50%,68.00000000000068
75%,94.99999999999886
95%,161.4999999999995
99%,236.00000000000065
max,469.0000000000026
skewness,2.2894963069555105
kurtosis,8.784816922037189
