,All day
count,5340.0
mean,10.28635603658269
std,5.770063968707713
min,0.0
5%,4.0
25%,6.5
50%,9.0
68%,11.25
90%,17.25
95%,21.0
99%,29.554999999999836
99.7%,39.49150000000009
max,74.5
