Volatility of Returns Statistic,"(Session:US Open 7-10 ET, Interval:15m, Symbol:ZN)"
count,147.0
mean,4.171768707482993
std,2.3148572253023767
min,1.25
10%,2.25
25%,2.75
50%,3.5
75%,5.0
95%,7.699999999999989
99%,13.519999999999996
max,15.5
skewness,2.3028618654787625
kurtosis,7.09500974034369
